#Variables:,
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,tasmin_bcc-csm1-1_rcp85(K)",
,
yyyy-mm-dd,tasmin_CCSM4_rcp85(K)
1/1/2006,287.558624
1/2/2006,281.293732
1/3/2006,279.68161
1/4/2006,279.481171
1/5/2006,281.180023
1/6/2006,287.054108
1/7/2006,277.556335
1/8/2006,276.967468
1/9/2006,280.111023
1/10/2006,279.615509
1/11/2006,279.776367
1/12/2006,280.30127
1/13/2006,282.048279
1/14/2006,286.735748
1/15/2006,286.327362
1/16/2006,277.841888
1/17/2006,277.612122
1/18/2006,279.138336
1/19/2006,280.838074
1/20/2006,282.437561
1/21/2006,284.023285
1/22/2006,281.825836
1/23/2006,282.480682
1/24/2006,284.753174
1/25/2006,284.720551
1/26/2006,280.385345
1/27/2006,284.070618
1/28/2006,273.732788
1/29/2006,275.035431
1/30/2006,274.561218
1/31/2006,274.815369
2/1/2006,278.385834
2/2/2006,278.064178
2/3/2006,271.878204
2/4/2006,271.263641
2/5/2006,275.715454
2/6/2006,276.07901
2/7/2006,276.51123
2/8/2006,275.988434
2/9/2006,280.953278
2/10/2006,284.665466
2/11/2006,284.06839
2/12/2006,281.184784
2/13/2006,279.89978
2/14/2006,284.664917
2/15/2006,278.930695
2/16/2006,274.264984
2/17/2006,275.103821
2/18/2006,272.414062
2/19/2006,275.471832
2/20/2006,281.342804
2/21/2006,274.622559
2/22/2006,275.653046
2/23/2006,279.233307
2/24/2006,278.87204
2/25/2006,280.412994
2/26/2006,286.441498
2/27/2006,283.866302
2/28/2006,284.5979
3/1/2006,280.939545
3/2/2006,280.555481
3/3/2006,284.397095
3/4/2006,287.64389
3/5/2006,283.2901
3/6/2006,289.344025
3/7/2006,291.169373
3/8/2006,285.204712
3/9/2006,282.441101
3/10/2006,283.063019
3/11/2006,284.806946
3/12/2006,288.731262
3/13/2006,290.84375
3/14/2006,284.916199
3/15/2006,287.3172
3/16/2006,282.155273
3/17/2006,279.879364
3/18/2006,276.164856
3/19/2006,278.09967
3/20/2006,280.48114
3/21/2006,282.68576
3/22/2006,285.295471
3/23/2006,289.006195
3/24/2006,290.499023
3/25/2006,290.07251
3/26/2006,287.150635
3/27/2006,283.883423
