#Variables:
#uas_bcc-csm1-1_historical(ms-1):Eastward Wind
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_uas_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,uas_bcc-csm1-1_historical(ms-1)"
""
yyyy-mm-dd,uas_bcc-csm1-1_historical(ms-1)
1950-01-01,3.353522
1950-01-02,-0.173411
1950-01-03,-2.243742
1950-01-04,2.755351
1950-01-05,3.399420
1950-01-06,2.055017
1950-01-07,4.574139
1950-01-08,4.713602
1950-01-09,1.927330
1950-01-10,2.809428
1950-01-11,2.812992
1950-01-12,1.148970
1950-01-13,0.056017
1950-01-14,4.285704
1950-01-15,6.072854
1950-01-16,4.455146
1950-01-17,3.739991
1950-01-18,-0.000003
1950-01-19,-3.583576
1950-01-20,-2.727248
1950-01-21,-1.695639
1950-01-22,1.007985
1950-01-23,1.389599
1950-01-24,0.398278
1950-01-25,0.564963
1950-01-26,1.604446
1950-01-27,-0.098058
1950-01-28,-2.803924
1950-01-29,0.343261
1950-01-30,3.846760
1950-01-31,4.471932
1950-02-01,3.484139
1950-02-02,1.796329
1950-02-03,1.719121
1950-02-04,1.353339
1950-02-05,1.777335
1950-02-06,-0.505160
1950-02-07,-0.277092
1950-02-08,0.436105
1950-02-09,0.595300
1950-02-10,2.583994
1950-02-11,4.077326
1950-02-12,4.728903
1950-02-13,1.921212
1950-02-14,0.178022
1950-02-15,0.370081
1950-02-16,0.248640
1950-02-17,-1.288774
1950-02-18,-0.168688
1950-02-19,0.772028
1950-02-20,1.249185
1950-02-21,-1.258481
1950-02-22,-3.377348
1950-02-23,-2.081997
1950-02-24,-0.343854
1950-02-25,3.059175
1950-02-26,1.705112
1950-02-27,4.586229
1950-02-28,3.631495
1950-03-01,-3.683559
1950-03-02,0.172668
1950-03-03,0.248603
1950-03-04,-5.881758
1950-03-05,-5.620829
1950-03-06,-6.136974
1950-03-07,-2.258773
1950-03-08,3.674442
1950-03-09,0.620946
1950-03-10,-1.021443
1950-03-11,-3.326180
1950-03-12,-2.047234
1950-03-13,0.213163
1950-03-14,-1.508497
1950-03-15,0.143736
1950-03-16,-2.590767
1950-03-17,-3.335248
1950-03-18,-1.267947
1950-03-19,-2.394612
1950-03-20,-3.124677
1950-03-21,-0.078310
1950-03-22,4.760995
1950-03-23,3.179149
1950-03-24,2.184814
1950-03-25,1.813492
1950-03-26,-2.436805
1950-03-27,-0.973854
1950-03-28,-2.683614
1950-03-29,-4.644572
1950-03-30,-4.839344
1950-03-31,-3.946824
1950-04-01,0.200058
1950-04-02,0.908478
1950-04-03,1.515330
1950-04-04,-0.117061
1950-04-05,0.269690
1950-04-06,-0.288950
1950-04-07,-0.422990
1950-04-08,-3.936315
1950-04-09,-0.200260
1950-04-10,-0.862813
1950-04-11,-2.000684
1950-04-12,0.184898
1950-04-13,-1.121417
1950-04-14,0.204317
1950-04-15,2.083200
1950-04-16,1.893918
1950-04-17,0.055828
1950-04-18,0.892166
1950-04-19,-1.205238
1950-04-20,-0.000003
1950-04-21,-1.309428
1950-04-22,-4.734203
1950-04-23,-4.731117
1950-04-24,-3.199252
1950-04-25,-1.568202
1950-04-26,-2.404248
1950-04-27,-2.655916
1950-04-28,-3.779283
1950-04-29,-3.136453
1950-04-30,-3.993485
1950-05-01,-3.626888
1950-05-02,-3.722868
1950-05-03,-2.406521
1950-05-04,0.320615
1950-05-05,-1.785123
1950-05-06,-3.369358
1950-05-07,0.245905
1950-05-08,0.474313
1950-05-09,-0.200265
1950-05-10,-0.829521
1950-05-11,-0.813112
1950-05-12,-0.815332
1950-05-13,-1.680596
1950-05-14,-4.558968
1950-05-15,-3.393948
1950-05-16,-1.264341
1950-05-17,-1.610871
1950-05-18,-1.139052
1950-05-19,-0.755103
1950-05-20,-1.689413
1950-05-21,-0.878981
1950-05-22,-2.474966
1950-05-23,-3.088707
1950-05-24,-2.887080
1950-05-25,-2.835747
1950-05-26,-3.010230
1950-05-27,-0.476728
1950-05-28,-0.550992
1950-05-29,-1.311266
1950-05-30,-2.030654
1950-05-31,-1.370999
1950-06-01,-0.147414
1950-06-02,-0.856677
1950-06-03,-1.398364
1950-06-04,-3.053702
1950-06-05,-3.272794
1950-06-06,-2.902006
1950-06-07,-3.354097
1950-06-08,-2.426030
1950-06-09,-1.783238
1950-06-10,-2.249452
1950-06-11,-3.436481
1950-06-12,-2.788663
1950-06-13,-1.598680
1950-06-14,-0.721468
1950-06-15,1.319895
1950-06-16,-0.550238
1950-06-17,-1.270257
1950-06-18,-2.419174
1950-06-19,-0.667973
1950-06-20,-0.000014
1950-06-21,-1.015121
1950-06-22,-0.625288
1950-06-23,-0.499125
1950-06-24,-0.955368
1950-06-25,-2.461447
