#Variables:
#rhsmin_bcc-csm1-1_historical(%):Surface Daily Minimum Relative Humidity
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_rhsmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,rhsmin_bcc-csm1-1_historical(%)"
""
yyyy-mm-dd,rhsmin_bcc-csm1-1_historical(%)
1950-01-01,25.659109
1950-01-02,23.307793
1950-01-03,19.910469
1950-01-04,23.951393
1950-01-05,27.914169
1950-01-06,24.418753
1950-01-07,20.568750
1950-01-08,12.136351
1950-01-09,9.540963
1950-01-10,8.774666
1950-01-11,13.805921
1950-01-12,20.833261
1950-01-13,19.367510
1950-01-14,16.725657
1950-01-15,14.258142
1950-01-16,14.330737
1950-01-17,13.589006
1950-01-18,17.283575
1950-01-19,16.241158
1950-01-20,12.445665
1950-01-21,10.954489
1950-01-22,19.172697
1950-01-23,32.915421
1950-01-24,37.766865
1950-01-25,44.043213
1950-01-26,35.889202
1950-01-27,33.930935
1950-01-28,36.052162
1950-01-29,42.039978
1950-01-30,27.966587
1950-01-31,26.627520
1950-02-01,24.738808
1950-02-02,22.126488
1950-02-03,22.045486
1950-02-04,23.748476
1950-02-05,24.280825
1950-02-06,32.021122
1950-02-07,49.077194
1950-02-08,33.200115
1950-02-09,43.129162
1950-02-10,35.467121
1950-02-11,28.243996
1950-02-12,22.824165
1950-02-13,17.159069
1950-02-14,19.854626
1950-02-15,25.416037
1950-02-16,25.564425
1950-02-17,28.658472
1950-02-18,29.214506
1950-02-19,32.910278
1950-02-20,23.487316
1950-02-21,9.611797
1950-02-22,8.270360
1950-02-23,11.358658
1950-02-24,45.837494
1950-02-25,38.461933
1950-02-26,31.838629
1950-02-27,24.444347
1950-02-28,17.065140
1950-03-01,17.596588
1950-03-02,27.517227
1950-03-03,29.589846
1950-03-04,40.120880
1950-03-05,55.420418
1950-03-06,70.817879
1950-03-07,53.158802
1950-03-08,48.803902
1950-03-09,43.097649
1950-03-10,45.321949
1950-03-11,48.784554
1950-03-12,57.309326
1950-03-13,51.508827
1950-03-14,56.708069
1950-03-15,39.817986
1950-03-16,41.570213
1950-03-17,57.820801
1950-03-18,54.246449
1950-03-19,53.615036
1950-03-20,60.151196
1950-03-21,53.270321
1950-03-22,44.690292
1950-03-23,40.888996
1950-03-24,36.792923
1950-03-25,36.039112
1950-03-26,41.241131
1950-03-27,42.640808
1950-03-28,44.391533
1950-03-29,59.664825
1950-03-30,65.705170
1950-03-31,71.897392
1950-04-01,52.934006
1950-04-02,44.302605
1950-04-03,45.502041
1950-04-04,48.296429
1950-04-05,48.378578
1950-04-06,49.015900
1950-04-07,45.118797
1950-04-08,47.683918
1950-04-09,49.596474
1950-04-10,39.815224
1950-04-11,37.779621
1950-04-12,33.488056
1950-04-13,33.227970
1950-04-14,25.534372
1950-04-15,13.579346
1950-04-16,14.110932
1950-04-17,16.482141
1950-04-18,18.955534
1950-04-19,21.741207
1950-04-20,30.604731
1950-04-21,35.613842
1950-04-22,40.438236
1950-04-23,63.379242
1950-04-24,59.076504
1950-04-25,48.932972
1950-04-26,49.789764
1950-04-27,57.079403
1950-04-28,54.434402
1950-04-29,49.862862
1950-04-30,53.721550
1950-05-01,60.066540
1950-05-02,58.695244
1950-05-03,60.875809
1950-05-04,49.332829
1950-05-05,48.916931
1950-05-06,48.370445
1950-05-07,46.666748
1950-05-08,36.745998
1950-05-09,31.187107
1950-05-10,24.376747
1950-05-11,32.738274
1950-05-12,38.988766
1950-05-13,38.857845
1950-05-14,37.978691
1950-05-15,38.462822
1950-05-16,35.502991
1950-05-17,35.429024
1950-05-18,37.200981
1950-05-19,46.017494
1950-05-20,50.035835
1950-05-21,53.802528
