#Variables:
#uas_bcc-csm1-1_rcp45(ms-1):Eastward Wind
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_uas_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,uas_bcc-csm1-1_rcp45(ms-1)"
""
yyyy-mm-dd,uas_bcc-csm1-1_rcp45(ms-1)
2006-01-01,-0.350709
2006-01-02,1.080322
2006-01-03,-0.627789
2006-01-04,-0.645986
2006-01-05,-0.212468
2006-01-06,-0.501526
2006-01-07,1.832940
2006-01-08,4.391762
2006-01-09,5.238178
2006-01-10,4.914599
2006-01-11,2.822466
2006-01-12,0.786528
2006-01-13,2.279535
2006-01-14,-3.058986
2006-01-15,-4.505889
2006-01-16,-3.746079
2006-01-17,-4.135144
2006-01-18,-2.780259
2006-01-19,1.142846
2006-01-20,0.002098
2006-01-21,-2.283662
2006-01-22,-3.041497
2006-01-23,1.580164
2006-01-24,1.947935
2006-01-25,-1.973952
2006-01-26,-2.044898
2006-01-27,-0.914012
2006-01-28,0.664141
2006-01-29,-0.407888
2006-01-30,-0.406532
2006-01-31,0.167158
2006-02-01,-2.963202
2006-02-02,-1.363005
2006-02-03,-1.929390
2006-02-04,-0.341974
2006-02-05,-3.018745
2006-02-06,1.860082
2006-02-07,2.407551
2006-02-08,2.115581
2006-02-09,2.039135
2006-02-10,-1.260282
2006-02-11,-2.201527
2006-02-12,-0.139896
2006-02-13,0.611960
2006-02-14,2.703160
2006-02-15,5.652637
2006-02-16,2.674221
2006-02-17,0.828262
2006-02-18,-1.938423
2006-02-19,2.776179
2006-02-20,6.730528
2006-02-21,5.815779
2006-02-22,4.344441
2006-02-23,1.137310
2006-02-24,-0.487046
2006-02-25,-1.300441
2006-02-26,0.547491
2006-02-27,2.384067
2006-02-28,1.249021
2006-03-01,3.199909
2006-03-02,-2.518765
2006-03-03,-3.763165
2006-03-04,-2.461799
2006-03-05,-0.923661
2006-03-06,0.845489
2006-03-07,-1.187388
