#Variables:
#vas_bcc-csm1-1_rcp45(ms-1):Northward Wind
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_vas_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,vas_bcc-csm1-1_rcp45(ms-1)"
""
yyyy-mm-dd,vas_bcc-csm1-1_rcp45(ms-1)
2006-01-01,-6.099245
2006-01-02,-3.995726
2006-01-03,-3.656392
2006-01-04,2.458179
2006-01-05,-4.577640
2006-01-06,-4.291646
2006-01-07,0.680457
2006-01-08,-0.539205
2006-01-09,-0.950615
2006-01-10,-0.026710
2006-01-11,1.653867
2006-01-12,4.995157
2006-01-13,2.123977
2006-01-14,-2.830979
2006-01-15,0.787025
2006-01-16,-1.322367
2006-01-17,-4.323485
2006-01-18,-4.710592
2006-01-19,-1.981951
2006-01-20,-2.804005
2006-01-21,0.508489
2006-01-22,2.579971
2006-01-23,3.492086
2006-01-24,-3.720665
2006-01-25,-5.321651
2006-01-26,-3.697057
2006-01-27,2.364797
2006-01-28,5.315771
2006-01-29,3.405712
2006-01-30,4.693601
2006-01-31,4.662314
2006-02-01,-6.216986
2006-02-02,-1.659596
2006-02-03,4.431457
2006-02-04,5.344948
2006-02-05,5.490955
2006-02-06,6.230657
2006-02-07,5.707984
2006-02-08,2.571385
2006-02-09,-2.436314
2006-02-10,-2.932660
2006-02-11,-2.679745
2006-02-12,-2.292047
2006-02-13,2.858236
2006-02-14,5.138035
2006-02-15,3.432551
2006-02-16,-4.791615
2006-02-17,3.235714
2006-02-18,6.818752
2006-02-19,5.371094
2006-02-20,0.856040
2006-02-21,0.532062
2006-02-22,-0.944607
2006-02-23,1.583105
2006-02-24,5.487576
2006-02-25,6.353678
2006-02-26,6.068591
2006-02-27,-1.186016
2006-02-28,4.334443
2006-03-01,0.495936
2006-03-02,2.918521
2006-03-03,2.706295
2006-03-04,4.103969
2006-03-05,4.438173
2006-03-06,5.399670
2006-03-07,2.706528
2006-03-08,-5.012251
2006-03-09,-4.167240
2006-03-10,-4.313835
2006-03-11,3.338116
2006-03-12,-2.113030
2006-03-13,1.417425
2006-03-14,4.679958
2006-03-15,6.534357
2006-03-16,2.630690
2006-03-17,-1.172432
2006-03-18,-3.781294
2006-03-19,-4.115431
2006-03-20,3.938079
2006-03-21,1.021462
2006-03-22,5.215469
2006-03-23,-3.778702
2006-03-24,1.663068
2006-03-25,5.286731
2006-03-26,7.331402
2006-03-27,-6.783276
2006-03-28,5.824812
2006-03-29,3.370589
2006-03-30,2.868099
2006-03-31,2.245567
2006-04-01,-3.723366
2006-04-02,-0.695618
2006-04-03,7.225552
2006-04-04,-2.035465
2006-04-05,-6.676600
2006-04-06,-6.618329
2006-04-07,2.873220
2006-04-08,4.827527
2006-04-09,3.959872
2006-04-10,1.794572
2006-04-11,5.559720
2006-04-12,-2.421478
2006-04-13,-5.761977
2006-04-14,-6.228592
2006-04-15,2.237965
2006-04-16,-0.167688
2006-04-17,-0.524061
2006-04-18,4.042761
2006-04-19,5.191865
2006-04-20,5.422428
2006-04-21,4.982871
2006-04-22,3.813271
2006-04-23,-6.433506
2006-04-24,-6.726133
2006-04-25,-0.392767
2006-04-26,3.289396
2006-04-27,4.394843
2006-04-28,5.987817
2006-04-29,3.479153
2006-04-30,-5.712297
2006-05-01,4.659759
2006-05-02,8.850477
2006-05-03,6.147096
2006-05-04,4.489409
2006-05-05,3.950223
2006-05-06,5.310484
2006-05-07,5.444754
2006-05-08,4.375278
2006-05-09,5.789441
2006-05-10,6.164944
2006-05-11,6.571681
2006-05-12,6.160595
2006-05-13,7.089793
2006-05-14,5.591564
2006-05-15,4.909396
2006-05-16,5.236261
2006-05-17,6.554443
2006-05-18,5.472124
2006-05-19,-1.716493
2006-05-20,-0.976488
2006-05-21,7.550437
2006-05-22,7.508989
2006-05-23,3.329886
2006-05-24,4.537148
2006-05-25,2.681576
