#Variables:
#rhsmax_bcc-csm1-1_rcp45(%):Surface Daily Maximum Relative Humidity
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_rhsmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,rhsmax_bcc-csm1-1_rcp45(%)"
""
yyyy-mm-dd,rhsmax_bcc-csm1-1_rcp45(%)
2006-01-01,99.991577
2006-01-02,81.865135
2006-01-03,87.593132
2006-01-04,99.985474
2006-01-05,99.573616
2006-01-06,84.198357
2006-01-07,75.082245
2006-01-08,79.649010
2006-01-09,63.422367
2006-01-10,64.649971
2006-01-11,66.311455
2006-01-12,99.888062
2006-01-13,99.445984
2006-01-14,87.947716
2006-01-15,86.252235
2006-01-16,99.899963
2006-01-17,83.734070
2006-01-18,68.524445
2006-01-19,81.608467
2006-01-20,90.548477
2006-01-21,84.034920
2006-01-22,89.276360
2006-01-23,99.872078
2006-01-24,63.584106
2006-01-25,58.201702
2006-01-26,61.379444
2006-01-27,55.479958
2006-01-28,68.949867
2006-01-29,76.231102
2006-01-30,86.650261
2006-01-31,99.883308
2006-02-01,99.903336
2006-02-02,77.937355
2006-02-03,67.975327
2006-02-04,65.355927
2006-02-05,99.785728
2006-02-06,99.803650
2006-02-07,83.240067
2006-02-08,99.459084
2006-02-09,99.700493
2006-02-10,99.439507
2006-02-11,99.644615
2006-02-12,99.793686
2006-02-13,99.645775
2006-02-14,99.900360
2006-02-15,90.018158
2006-02-16,66.432693
2006-02-17,71.448967
2006-02-18,100.000000
2006-02-19,100.000000
2006-02-20,70.769028
2006-02-21,61.900135
2006-02-22,57.382660
2006-02-23,57.858326
2006-02-24,63.549953
2006-02-25,86.885201
2006-02-26,85.145126
2006-02-27,88.114685
2006-02-28,64.691574
2006-03-01,65.918625
2006-03-02,43.182156
2006-03-03,100.000000
2006-03-04,100.000000
2006-03-05,99.993340
2006-03-06,99.987106
2006-03-07,99.933296
2006-03-08,99.935585
2006-03-09,99.819260
2006-03-10,99.235161
2006-03-11,99.279907
2006-03-12,99.326843
2006-03-13,92.753792
2006-03-14,97.083496
2006-03-15,100.000000
2006-03-16,87.391487
2006-03-17,83.502815
2006-03-18,67.035019
2006-03-19,58.183037
2006-03-20,66.615227
2006-03-21,61.024677
2006-03-22,68.140518
2006-03-23,49.678669
2006-03-24,35.884670
2006-03-25,58.076683
2006-03-26,98.730217
2006-03-27,54.345562
2006-03-28,50.856377
2006-03-29,66.674461
2006-03-30,40.990513
2006-03-31,31.053246
2006-04-01,43.329906
2006-04-02,42.623848
2006-04-03,51.709957
2006-04-04,67.956078
2006-04-05,72.615059
2006-04-06,73.953079
2006-04-07,78.415833
2006-04-08,94.310493
2006-04-09,91.460526
2006-04-10,76.693855
2006-04-11,85.818886
2006-04-12,74.278534
2006-04-13,98.045273
2006-04-14,80.227592
2006-04-15,57.208481
2006-04-16,46.927807
2006-04-17,58.644718
2006-04-18,45.700596
2006-04-19,61.476131
2006-04-20,81.579239
2006-04-21,55.683159
2006-04-22,37.288486
2006-04-23,83.667465
2006-04-24,91.083702
2006-04-25,87.461571
2006-04-26,72.064217
2006-04-27,87.789291
2006-04-28,97.592621
2006-04-29,91.369240
2006-04-30,90.279091
2006-05-01,78.314384
2006-05-02,99.431870
