#Variables:
#rhsmin_bcc-csm1-1_rcp45(%):Surface Daily Minimum Relative Humidity
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_rhsmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,rhsmin_bcc-csm1-1_rcp45(%)"
""
yyyy-mm-dd,rhsmin_bcc-csm1-1_rcp45(%)
2006-01-01,33.271091
2006-01-02,24.790518
2006-01-03,29.893723
2006-01-04,54.254814
2006-01-05,41.561409
2006-01-06,26.419962
2006-01-07,26.053377
2006-01-08,23.511938
2006-01-09,21.901411
2006-01-10,22.261477
2006-01-11,22.807585
2006-01-12,26.133696
2006-01-13,31.373272
2006-01-14,33.969070
2006-01-15,35.968029
2006-01-16,52.879379
2006-01-17,39.646763
2006-01-18,31.048014
2006-01-19,31.089464
2006-01-20,30.855907
2006-01-21,29.549509
2006-01-22,34.648609
2006-01-23,26.222895
2006-01-24,20.501255
2006-01-25,19.883924
2006-01-26,19.044004
2006-01-27,18.587427
2006-01-28,22.260960
2006-01-29,24.416857
2006-01-30,26.048040
2006-01-31,31.875738
2006-02-01,27.094858
2006-02-02,23.125931
2006-02-03,22.712980
2006-02-04,23.470119
2006-02-05,37.531391
2006-02-06,33.081009
2006-02-07,33.905067
2006-02-08,38.898197
2006-02-09,39.680336
2006-02-10,39.744774
2006-02-11,42.340603
2006-02-12,54.915695
2006-02-13,48.963612
2006-02-14,34.618053
2006-02-15,27.366812
2006-02-16,24.803360
2006-02-17,19.398777
2006-02-18,26.485014
2006-02-19,31.474680
2006-02-20,23.080643
2006-02-21,19.854721
2006-02-22,18.744514
2006-02-23,18.443556
2006-02-24,21.375919
2006-02-25,24.776081
2006-02-26,32.602276
2006-02-27,30.680447
2006-02-28,23.729681
2006-03-01,7.668014
2006-03-02,10.877780
2006-03-03,25.837605
2006-03-04,58.386612
2006-03-05,62.443291
2006-03-06,47.568878
2006-03-07,47.963234
2006-03-08,49.913754
2006-03-09,41.257927
2006-03-10,36.160961
2006-03-11,35.379425
2006-03-12,33.809025
2006-03-13,33.118050
2006-03-14,34.454372
2006-03-15,34.963634
2006-03-16,27.835701
2006-03-17,28.868330
2006-03-18,25.901043
2006-03-19,22.893858
2006-03-20,25.881758
2006-03-21,14.656159
2006-03-22,15.274152
2006-03-23,15.594731
2006-03-24,10.243553
2006-03-25,10.203801
2006-03-26,15.941264
2006-03-27,15.488842
2006-03-28,19.071526
2006-03-29,15.487441
2006-03-30,14.997455
2006-03-31,12.473966
2006-04-01,10.557561
2006-04-02,12.341780
2006-04-03,12.513641
2006-04-04,12.495825
2006-04-05,17.289001
2006-04-06,30.607571
2006-04-07,31.184826
2006-04-08,35.435051
2006-04-09,32.726608
2006-04-10,27.364079
2006-04-11,20.259140
2006-04-12,25.252815
2006-04-13,32.666023
2006-04-14,29.626631
2006-04-15,16.097807
2006-04-16,17.121477
2006-04-17,16.658428
2006-04-18,11.672913
2006-04-19,14.675855
2006-04-20,23.747602
2006-04-21,13.589697
2006-04-22,6.682227
2006-04-23,11.862394
2006-04-24,39.326588
2006-04-25,34.103683
2006-04-26,31.784508
2006-04-27,32.749870
2006-04-28,38.125923
2006-04-29,34.802269
2006-04-30,25.067574
2006-05-01,28.993422
2006-05-02,33.461681
2006-05-03,18.034866
2006-05-04,11.549588
2006-05-05,14.446490
2006-05-06,13.942864
2006-05-07,11.949049
2006-05-08,23.612471
2006-05-09,23.402658
2006-05-10,27.235535
2006-05-11,26.673563
2006-05-12,27.537321
2006-05-13,31.002129
2006-05-14,33.466846
2006-05-15,36.935276
2006-05-16,39.051716
2006-05-17,39.805683
2006-05-18,18.955915
2006-05-19,12.831725
2006-05-20,23.584078
2006-05-21,36.709698
2006-05-22,27.376989
2006-05-23,26.775379
2006-05-24,28.792591
2006-05-25,27.032961
2006-05-26,35.528679
2006-05-27,44.315990
2006-05-28,44.311180
2006-05-29,34.318821
2006-05-30,26.447618
2006-05-31,28.670517
2006-06-01,32.639717
2006-06-02,39.915318
2006-06-03,45.855782
2006-06-04,45.327156
2006-06-05,46.100792
2006-06-06,48.768658
2006-06-07,45.541660
2006-06-08,44.870895
2006-06-09,41.802128
2006-06-10,36.138836
2006-06-11,34.753654
2006-06-12,35.314964
2006-06-13,29.762785
2006-06-14,31.163786
2006-06-15,32.998703
2006-06-16,29.542936
2006-06-17,28.309477
2006-06-18,24.820290
2006-06-19,26.585819
2006-06-20,24.071699
2006-06-21,24.085531
2006-06-22,27.650194
2006-06-23,43.678825
2006-06-24,45.519638
2006-06-25,45.833073
2006-06-26,44.276356
2006-06-27,43.093449
2006-06-28,40.602608
2006-06-29,36.263649
2006-06-30,34.333809
2006-07-01,36.808300
2006-07-02,36.946327
2006-07-03,43.139469
2006-07-04,44.897518
2006-07-05,44.705807
2006-07-06,44.277573
2006-07-07,41.141678
2006-07-08,39.448463
2006-07-09,42.722286
2006-07-10,42.408886
2006-07-11,46.481495
2006-07-12,46.515465
2006-07-13,52.224892
2006-07-14,52.441685
2006-07-15,45.399837
2006-07-16,44.875427
2006-07-17,41.209763
2006-07-18,38.353741
2006-07-19,36.771545
2006-07-20,36.532154
2006-07-21,28.765087
2006-07-22,24.543669
2006-07-23,24.937107
2006-07-24,33.231552
2006-07-25,40.369122
2006-07-26,42.526012
2006-07-27,38.892971
2006-07-28,31.017845
2006-07-29,30.151342
2006-07-30,33.327312
2006-07-31,35.734673
2006-08-01,35.250050
2006-08-02,35.830963
2006-08-03,35.500679
2006-08-04,36.294979
2006-08-05,36.991421
2006-08-06,40.012600
2006-08-07,46.323017
2006-08-08,46.913620
2006-08-09,43.335751
2006-08-10,41.212997
2006-08-11,38.731121
2006-08-12,36.808369
2006-08-13,36.729080
2006-08-14,34.816223
2006-08-15,36.851624
2006-08-16,36.531998
2006-08-17,36.595592
2006-08-18,35.327175
2006-08-19,42.948460
2006-08-20,53.125916
2006-08-21,39.289623
2006-08-22,36.089581
2006-08-23,35.879887
2006-08-24,36.006001
2006-08-25,37.478367
2006-08-26,37.913383
2006-08-27,36.648975
2006-08-28,34.747414
2006-08-29,36.847767
2006-08-30,40.015354
2006-08-31,41.684757
2006-09-01,46.442211
2006-09-02,41.661312
2006-09-03,41.385040
2006-09-04,39.517597
2006-09-05,34.644005
2006-09-06,33.178291
2006-09-07,34.412460
2006-09-08,38.254208
2006-09-09,37.608677
2006-09-10,38.044544
2006-09-11,41.369442
2006-09-12,42.167072
2006-09-13,45.573650
2006-09-14,45.858086
2006-09-15,46.062260
2006-09-16,41.900669
2006-09-17,25.010475
2006-09-18,22.652170
2006-09-19,17.785208
2006-09-20,14.098039
2006-09-21,14.909646
2006-09-22,22.892784
2006-09-23,42.390884
2006-09-24,52.298935
2006-09-25,47.363518
2006-09-26,45.099541
2006-09-27,50.436764
2006-09-28,47.347198
2006-09-29,43.253765
2006-09-30,35.184498
2006-10-01,26.753901
2006-10-02,25.646215
2006-10-03,25.325115
2006-10-04,25.813143
2006-10-05,28.872839
2006-10-06,33.930920
2006-10-07,33.502304
2006-10-08,28.871239
2006-10-09,14.708301
2006-10-10,11.851635
2006-10-11,11.699759
2006-10-12,14.740932
2006-10-13,13.254325
2006-10-14,30.763422
2006-10-15,31.878345
2006-10-16,27.542765
2006-10-17,28.704325
2006-10-18,19.603167
2006-10-19,16.018023
2006-10-20,16.759867
2006-10-21,25.694992
2006-10-22,34.073441
2006-10-23,38.034069
2006-10-24,37.808319
2006-10-25,37.016476
2006-10-26,38.108513
2006-10-27,40.122208
2006-10-28,37.105145
2006-10-29,46.821270
2006-10-30,54.821381
2006-10-31,51.742931
2006-11-01,50.173969
2006-11-02,53.112076
2006-11-03,51.439056
2006-11-04,51.081245
2006-11-05,40.938683
2006-11-06,35.169022
2006-11-07,35.924892
2006-11-08,36.402561
2006-11-09,37.877022
2006-11-10,38.088326
2006-11-11,43.648415
2006-11-12,55.603802
2006-11-13,64.937073
2006-11-14,68.789001
2006-11-15,53.647045
2006-11-16,51.509205
2006-11-17,53.825760
2006-11-18,50.750732
2006-11-19,50.213051
2006-11-20,52.529659
2006-11-21,52.480103
2006-11-22,43.068172
2006-11-23,50.343140
2006-11-24,52.504543
2006-11-25,53.840824
2006-11-26,47.516705
2006-11-27,26.330397
2006-11-28,28.170113
2006-11-29,29.273472
2006-11-30,25.051928
2006-12-01,18.415161
2006-12-02,15.768334
2006-12-03,13.882119
2006-12-04,14.977245
2006-12-05,19.228800
2006-12-06,21.940439
2006-12-07,18.452885
2006-12-08,22.888653
2006-12-09,34.236969
2006-12-10,24.465824
2006-12-11,17.582541
2006-12-12,17.907782
2006-12-13,24.906590
2006-12-14,24.310583
2006-12-15,26.708563
2006-12-16,32.249344
2006-12-17,34.844032
2006-12-18,43.836517
2006-12-19,26.053829
2006-12-20,23.607697
2006-12-21,29.240465
2006-12-22,29.817720
2006-12-23,22.528553
2006-12-24,23.696754
2006-12-25,25.618258
2006-12-26,13.687702
2006-12-27,17.548677
2006-12-28,25.495516
2006-12-29,54.874695
2006-12-30,64.911621
2006-12-31,36.953476
2007-01-01,48.031189
2007-01-02,43.793938
2007-01-03,34.624649
2007-01-04,36.514179
2007-01-05,37.442921
2007-01-06,48.364021
2007-01-07,35.050629
2007-01-08,33.112331
2007-01-09,34.866875
2007-01-10,48.953384
2007-01-11,44.857883
2007-01-12,30.170881
2007-01-13,27.664814
2007-01-14,27.969505
2007-01-15,28.436533
2007-01-16,26.208712
2007-01-17,24.810228
2007-01-18,25.574665
2007-01-19,26.126165
2007-01-20,23.714590
2007-01-21,22.767593
2007-01-22,22.394640
2007-01-23,25.060295
2007-01-24,26.213482
2007-01-25,25.563780
2007-01-26,23.756577
2007-01-27,25.829025
2007-01-28,37.200024
2007-01-29,55.487103
2007-01-30,70.258514
2007-01-31,50.277016
2007-02-01,56.763527
2007-02-02,29.300606
2007-02-03,43.235073
2007-02-04,43.549660
2007-02-05,28.617701
2007-02-06,39.773560
2007-02-07,32.199089
2007-02-08,21.456409
2007-02-09,21.129419
2007-02-10,23.086407
2007-02-11,22.202904
2007-02-12,21.689674
2007-02-13,20.954788
2007-02-14,19.684052
2007-02-15,20.303865
2007-02-16,18.484280
2007-02-17,19.344973
2007-02-18,23.764217
2007-02-19,28.534929
2007-02-20,31.903694
