#Variables:
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,rsds_bcc-csm1-1_rcp45(Wm-2)"
""
yyyy-mm-dd,rsds_bcc-csm1-1_rcp45(Wm-2)
2006-01-01,136.848236
2006-01-02,136.399857
2006-01-03,64.706932
2006-01-04,100.491745
2006-01-05,130.714157
2006-01-06,136.937866
2006-01-07,138.300308
2006-01-08,141.635742
2006-01-09,142.916779
2006-01-10,143.655350
2006-01-11,135.952591
2006-01-12,109.640099
2006-01-13,136.542145
2006-01-14,135.647507
2006-01-15,48.600189
2006-01-16,89.674660
2006-01-17,137.519882
2006-01-18,134.479248
2006-01-19,154.414642
2006-01-20,151.829498
2006-01-21,153.075470
2006-01-22,134.542374
2006-01-23,152.359421
2006-01-24,157.969650
2006-01-25,158.102905
2006-01-26,158.544769
2006-01-27,147.987946
2006-01-28,136.053589
2006-01-29,154.178101
2006-01-30,141.972260
2006-01-31,101.595985
2006-02-01,161.410767
2006-02-02,170.459824
2006-02-03,144.476593
2006-02-04,135.279816
2006-02-05,67.376923
2006-02-06,162.851639
2006-02-07,154.344971
2006-02-08,146.785522
2006-02-09,142.594788
2006-02-10,142.248184
2006-02-11,112.220787
2006-02-12,113.593498
2006-02-13,124.452637
2006-02-14,169.187668
2006-02-15,185.929245
2006-02-16,188.350464
2006-02-17,190.203903
2006-02-18,122.714874
2006-02-19,188.387436
2006-02-20,194.410248
2006-02-21,197.084259
2006-02-22,195.449310
2006-02-23,200.074280
2006-02-24,195.373810
2006-02-25,131.020355
2006-02-26,141.744156
2006-02-27,135.527618
2006-02-28,197.986771
2006-03-01,189.252914
2006-03-02,136.678436
2006-03-03,77.039330
2006-03-04,130.091431
2006-03-05,106.914909
2006-03-06,149.057510
2006-03-07,144.902603
2006-03-08,151.133316
2006-03-09,188.412567
2006-03-10,203.264725
2006-03-11,192.836487
2006-03-12,202.778671
2006-03-13,194.435272
2006-03-14,188.828781
2006-03-15,187.420593
2006-03-16,198.550888
2006-03-17,224.376617
2006-03-18,226.971344
2006-03-19,206.079346
2006-03-20,206.616425
2006-03-21,236.342911
2006-03-22,210.833817
2006-03-23,211.584747
2006-03-24,243.095352
2006-03-25,219.557938
2006-03-26,215.140976
2006-03-27,251.725128
2006-03-28,209.846680
2006-03-29,213.825577
2006-03-30,201.636429
2006-03-31,234.798721
2006-04-01,258.551788
2006-04-02,258.867981
