#Variables:
#pr_bcc-csm1-1_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm)
2006-01-01,0.000000
2006-01-02,0.000000
2006-01-03,1.627702
2006-01-04,0.000000
2006-01-05,0.000000
2006-01-06,0.000000
2006-01-07,0.000000
2006-01-08,0.000000
2006-01-09,0.000000
2006-01-10,0.000000
2006-01-11,0.000000
2006-01-12,0.312008
2006-01-13,1.350170
2006-01-14,17.252798
2006-01-15,12.062986
2006-01-16,0.593459
2006-01-17,0.000000
2006-01-18,0.000000
2006-01-19,0.000000
2006-01-20,9.261273
2006-01-21,0.000000
2006-01-22,7.929880
2006-01-23,7.947269
2006-01-24,0.000000
2006-01-25,0.893096
2006-01-26,0.000000
2006-01-27,0.000000
2006-01-28,0.000000
2006-01-29,0.000000
2006-01-30,0.000000
2006-01-31,0.414521
2006-02-01,0.343204
2006-02-02,4.198918
2006-02-03,10.425752
2006-02-04,0.000000
2006-02-05,0.294112
2006-02-06,0.000000
2006-02-07,0.000000
2006-02-08,0.000000
2006-02-09,0.000000
2006-02-10,0.000000
2006-02-11,0.000000
2006-02-12,0.000000
2006-02-13,0.000000
2006-02-14,0.000000
2006-02-15,6.871958
2006-02-16,20.955053
2006-02-17,0.000000
2006-02-18,0.000000
2006-02-19,0.000000
2006-02-20,2.354750
2006-02-21,23.060686
2006-02-22,1.406713
2006-02-23,0.000000
2006-02-24,0.000000
2006-02-25,0.000000
2006-02-26,0.000000
2006-02-27,0.000000
2006-02-28,0.000000
2006-03-01,0.000000
2006-03-02,0.000000
2006-03-03,0.000000
2006-03-04,0.000000
2006-03-05,0.000000
2006-03-06,0.000000
2006-03-07,0.000000
2006-03-08,0.000000
2006-03-09,0.000000
2006-03-10,0.000000
2006-03-11,0.000000
2006-03-12,0.000000
2006-03-13,0.000000
2006-03-14,4.032750
2006-03-15,0.000000
2006-03-16,0.000000
2006-03-17,0.000000
2006-03-18,0.000000
2006-03-19,0.000000
2006-03-20,0.000000
2006-03-21,0.000000
2006-03-22,0.000000
2006-03-23,0.000000
2006-03-24,8.361338
2006-03-25,0.930853
2006-03-26,1.129326
2006-03-27,7.764891
2006-03-28,4.022295
2006-03-29,1.688218
2006-03-30,0.000000
2006-03-31,0.000000
2006-04-01,0.000000
2006-04-02,0.000000
2006-04-03,0.000000
2006-04-04,0.000000
2006-04-05,0.000000
2006-04-06,0.000000
2006-04-07,0.000000
2006-04-08,0.000000
2006-04-09,0.000000
2006-04-10,0.000000
2006-04-11,1.761624
2006-04-12,0.000000
2006-04-13,14.070285
2006-04-14,0.000000
2006-04-15,0.000000
2006-04-16,0.000000
2006-04-17,0.000000
2006-04-18,0.000000
2006-04-19,0.000000
2006-04-20,0.000000
2006-04-21,0.000000
2006-04-22,0.000000
2006-04-23,0.963366
2006-04-24,0.000000
2006-04-25,0.000000
2006-04-26,0.000000
2006-04-27,0.000000
2006-04-28,0.000000
2006-04-29,0.000000
2006-04-30,0.483744
2006-05-01,0.000000
2006-05-02,0.000000
2006-05-03,0.000000
2006-05-04,7.136184
2006-05-05,0.689191
2006-05-06,0.000000
2006-05-07,0.000000
2006-05-08,0.000000
2006-05-09,0.000000
2006-05-10,0.000000
2006-05-11,0.000000
2006-05-12,0.000000
2006-05-13,0.462850
2006-05-14,0.000000
2006-05-15,0.000000
2006-05-16,0.000000
2006-05-17,0.000000
2006-05-18,0.000000
2006-05-19,0.000000
2006-05-20,0.000000
2006-05-21,0.000000
2006-05-22,6.881421
2006-05-23,9.621771
2006-05-24,0.000000
2006-05-25,15.876226
2006-05-26,6.136852
2006-05-27,2.878068
2006-05-28,5.407918
2006-05-29,0.695999
2006-05-30,0.000000
2006-05-31,0.000000
2006-06-01,0.000000
2006-06-02,0.000000
2006-06-03,0.000000
2006-06-04,18.502411
2006-06-05,57.537918
2006-06-06,16.295525
2006-06-07,10.715438
2006-06-08,15.985829
2006-06-09,0.284093
2006-06-10,0.000000
2006-06-11,0.000000
2006-06-12,2.299973
2006-06-13,2.605430
2006-06-14,0.473710
2006-06-15,0.296902
2006-06-16,0.433771
2006-06-17,0.922524
2006-06-18,1.054811
2006-06-19,0.802311
2006-06-20,0.000000
2006-06-21,0.000000
2006-06-22,1.460347
2006-06-23,1.529714
2006-06-24,0.000000
2006-06-25,0.000000
2006-06-26,0.000000
2006-06-27,0.000000
2006-06-28,0.532457
2006-06-29,0.376213
2006-06-30,0.283801
2006-07-01,0.841813
2006-07-02,1.206999
2006-07-03,0.678989
2006-07-04,0.000000
2006-07-05,0.000000
2006-07-06,0.000000
2006-07-07,0.000000
2006-07-08,0.000000
2006-07-09,0.000000
2006-07-10,2.725325
2006-07-11,1.389806
2006-07-12,0.000000
2006-07-13,0.000000
2006-07-14,0.000000
2006-07-15,0.888502
2006-07-16,0.000000
2006-07-17,0.000000
2006-07-18,0.000000
2006-07-19,0.000000
2006-07-20,0.000000
2006-07-21,0.000000
2006-07-22,0.000000
2006-07-23,2.559225
2006-07-24,0.000000
2006-07-25,0.000000
2006-07-26,0.000000
2006-07-27,0.000000
2006-07-28,0.000000
2006-07-29,0.000000
2006-07-30,1.126030
2006-07-31,0.000000
2006-08-01,10.493993
2006-08-02,11.019579
2006-08-03,0.000000
2006-08-04,0.000000
2006-08-05,0.394512
2006-08-06,0.000000
2006-08-07,0.000000
2006-08-08,0.000000
2006-08-09,0.000000
2006-08-10,0.000000
2006-08-11,0.000000
2006-08-12,0.000000
2006-08-13,0.000000
2006-08-14,0.000000
2006-08-15,0.000000
2006-08-16,1.693241
2006-08-17,1.768572
2006-08-18,2.117061
2006-08-19,2.233619
2006-08-20,2.348826
2006-08-21,1.005761
2006-08-22,3.055408
2006-08-23,1.313476
2006-08-24,0.000000
2006-08-25,0.000000
2006-08-26,0.000000
2006-08-27,1.067425
2006-08-28,0.475083
2006-08-29,0.000000
2006-08-30,0.463625
2006-08-31,0.000000
2006-09-01,0.000000
2006-09-02,0.000000
2006-09-03,0.000000
2006-09-04,0.000000
2006-09-05,0.000000
2006-09-06,0.000000
2006-09-07,1.027825
2006-09-08,0.000000
2006-09-09,0.000000
2006-09-10,0.000000
2006-09-11,0.000000
2006-09-12,0.000000
2006-09-13,0.000000
