#Variables:
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_bcc-csm1-1_rcp85(K)"
""
yyyy-mm-dd,tasmin_bcc-csm1-1_rcp85(K)
2006-01-01,274.783966
2006-01-02,272.078278
2006-01-03,274.984650
2006-01-04,276.296631
2006-01-05,276.218323
2006-01-06,271.969696
2006-01-07,270.171692
2006-01-08,272.142303
2006-01-09,275.886169
2006-01-10,276.868713
2006-01-11,278.800140
2006-01-12,284.859802
2006-01-13,275.859680
2006-01-14,263.405304
2006-01-15,264.523041
2006-01-16,265.663544
2006-01-17,269.148224
2006-01-18,269.755707
2006-01-19,270.842529
2006-01-20,267.303711
2006-01-21,263.035461
2006-01-22,271.236359
2006-01-23,271.004364
2006-01-24,270.961609
2006-01-25,271.032898
2006-01-26,267.340820
2006-01-27,268.737335
2006-01-28,270.127441
2006-01-29,272.777832
2006-01-30,279.644501
2006-01-31,283.566406
2006-02-01,283.632782
2006-02-02,275.523285
2006-02-03,272.881073
2006-02-04,271.851318
2006-02-05,272.462616
2006-02-06,281.039703
2006-02-07,279.829254
2006-02-08,272.807770
2006-02-09,267.340698
2006-02-10,265.479919
2006-02-11,266.697479
2006-02-12,267.978577
2006-02-13,270.198242
2006-02-14,271.018433
2006-02-15,280.200470
2006-02-16,280.903442
2006-02-17,282.170654
2006-02-18,283.670135
2006-02-19,282.740723
2006-02-20,284.524170
2006-02-21,285.320618
2006-02-22,283.583618
2006-02-23,277.467163
2006-02-24,277.628082
2006-02-25,279.168396
2006-02-26,279.107086
2006-02-27,281.598938
2006-02-28,281.659210
2006-03-01,276.370056
2006-03-02,276.822876
2006-03-03,284.973419
2006-03-04,287.514648
2006-03-05,285.832458
2006-03-06,287.442505
2006-03-07,286.433319
2006-03-08,285.797852
2006-03-09,287.542786
2006-03-10,286.219696
2006-03-11,286.298340
2006-03-12,288.259125
2006-03-13,288.417603
2006-03-14,286.714294
2006-03-15,283.080872
2006-03-16,283.841980
2006-03-17,284.202881
2006-03-18,280.238800
2006-03-19,276.322021
2006-03-20,282.652039
2006-03-21,285.301270
2006-03-22,287.114075
2006-03-23,287.692139
2006-03-24,287.452545
2006-03-25,288.130463
2006-03-26,286.120575
2006-03-27,283.122986
2006-03-28,280.143860
2006-03-29,283.360687
2006-03-30,284.187012
