"DateTime","(W/m2) Downward Shortwave Radiation (TerraClimate) at -98.7092E,29.7839N, 1958-01-01 to 2019-12-31"
"1958-01-01",128
"1958-02-01",128.6
"1958-03-01",172.3
"1958-04-01",213.9
"1958-05-01",273
"1958-06-01",277.5
"1958-07-01",289.1
"1958-08-01",275
"1958-09-01",185.3
"1958-10-01",127.5
"1958-11-01",125
"1958-12-01",112.1
"1959-01-01",105.2
"1959-02-01",114.2
"1959-03-01",200
"1959-04-01",219.8
"1959-05-01",244.6
"1959-06-01",285.7
"1959-07-01",284.4
"1959-08-01",251.4
"1959-09-01",228.8
"1959-10-01",170.6
"1959-11-01",120.6
"1959-12-01",117.9
"1960-01-01",103.9
"1960-02-01",143.2
"1960-03-01",164.6
"1960-04-01",210
"1960-05-01",258.3
"1960-06-01",290.2
"1960-07-01",282.3
"1960-08-01",249.4
"1960-09-01",243.2
"1960-10-01",166.1
"1960-11-01",110.2
"1960-12-01",105.2
"1961-01-01",112.8
"1961-02-01",145.5
"1961-03-01",197.2
"1961-04-01",244.8
"1961-05-01",253.8
"1961-06-01",266.9
"1961-07-01",280.6
"1961-08-01",277.5
"1961-09-01",219.3
"1961-10-01",170.4
"1961-11-01",110.1
"1961-12-01",120.6
"1962-01-01",120.5
"1962-02-01",141.6
"1962-03-01",184.1
"1962-04-01",232
"1962-05-01",271.8
"1962-06-01",288.4
"1962-07-01",291.5
"1962-08-01",281.4
"1962-09-01",231.8
"1962-10-01",180.1
"1962-11-01",129.5
"1962-12-01",122.9
"1963-01-01",129.1
"1963-02-01",154.7
"1963-03-01",185.8
"1963-04-01",227.2
"1963-05-01",259.2
"1963-06-01",292.8
"1963-07-01",296.8
"1963-08-01",279.3
"1963-09-01",236.8
"1963-10-01",189.8
"1963-11-01",134.7
"1963-12-01",118.1
"1964-01-01",129.3
"1964-02-01",155.3
"1964-03-01",200.5
"1964-04-01",228.7
"1964-05-01",257.4
"1964-06-01",298.4
"1964-07-01",295.5
"1964-08-01",268.8
"1964-09-01",220.5
"1964-10-01",198.8
"1964-11-01",128.3
"1964-12-01",116.7
"1965-01-01",128
"1965-02-01",131.4
"1965-03-01",171.2
"1965-04-01",227.2
"1965-05-01",217.1
"1965-06-01",287
"1965-07-01",296.2
"1965-08-01",275.9
"1965-09-01",218.9
"1965-10-01",169.4
"1965-11-01",120.8
"1965-12-01",97.3
"1966-01-01",116.1
"1966-02-01",155.1
"1966-03-01",185.2
"1966-04-01",211.7
"1966-05-01",230.5
"1966-06-01",285.5
"1966-07-01",280.2
"1966-08-01",253.4
"1966-09-01",217.9
"1966-10-01",172.5
"1966-11-01",135.2
"1966-12-01",132.8
"1967-01-01",115
"1967-02-01",143.4
"1967-03-01",168.4
"1967-04-01",195.4
"1967-05-01",267.3
"1967-06-01",294.2
"1967-07-01",282
"1967-08-01",261.1
"1967-09-01",204.8
"1967-10-01",183.6
"1967-11-01",115.3
"1967-12-01",111.4
"1968-01-01",88.9
"1968-02-01",144.1
"1968-03-01",171.4
"1968-04-01",213.4
"1968-05-01",236
"1968-06-01",267.9
"1968-07-01",276.7
"1968-08-01",273
"1968-09-01",224.5
"1968-10-01",169.1
"1968-11-01",128.2
"1968-12-01",123.2
"1969-01-01",93.6
"1969-02-01",146.5
"1969-03-01",180.5
"1969-04-01",218
"1969-05-01",270.5
"1969-06-01",288.9
"1969-07-01",286.4
"1969-08-01",258.5
"1969-09-01",227.3
"1969-10-01",145.3
"1969-11-01",123.6
"1969-12-01",124.5
"1970-01-01",115.2
"1970-02-01",125.4
"1970-03-01",167.7
"1970-04-01",205.4
"1970-05-01",247.7
"1970-06-01",277.5
"1970-07-01",275
"1970-08-01",267.5
"1970-09-01",206.4
"1970-10-01",172.5
"1970-11-01",140.6
"1970-12-01",106.8
"1971-01-01",118.1
"1971-02-01",155.5
"1971-03-01",207.7
"1971-04-01",245.2
"1971-05-01",248.8
"1971-06-01",269.8
"1971-07-01",283.8
"1971-08-01",235.3
"1971-09-01",211.1
"1971-10-01",159.1
"1971-11-01",127.6
"1971-12-01",93.8
"1972-01-01",102.4
"1972-02-01",152.7
"1972-03-01",196.5
"1972-04-01",230.4
"1972-05-01",271.2
"1972-06-01",271.5
"1972-07-01",274.9
"1972-08-01",261.8
"1972-09-01",219.1
"1972-10-01",159.9
"1972-11-01",118.5
"1972-12-01",110.4
"1973-01-01",115.9
"1973-02-01",135.6
"1973-03-01",187.2
"1973-04-01",214.7
"1973-05-01",265.1
"1973-06-01",263.4
"1973-07-01",285.5
"1973-08-01",266.7
