"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 07/12/2021

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 29.8958 North,-97.9375 East" 
Variable List: 
aet: aet (Actual Evapotranspiration)
pet: pet (Grass Reference Evapotranspiration (ETo))
soil: soil (Soil Moisture)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
ppt: ppt (Precipitation)
********************************************************
Year,Month,aet(mm),pet(mm),soil(mm),tmax(degC),tmin(degC),ppt(mm)
1958,1,68.8,68.8,133.3,15.37,2.53,104.6
1958,2,61.4,61.4,190,13.71,3.61,124.3
1958,3,64.4,85.3,166.4,18.32,6.34,42.9
1958,4,77.3,115.2,130.8,24.96,12.98,44
1958,5,130.4,150,117.5,29.39,17.25,123.2
1958,6,127.6,183.8,84,33.8,22.05,99.1
1958,7,87.7,205.2,60.1,34.93,22.99,67.2
1958,8,47.4,193,47.3,36.47,22.19,36.4
1958,9,133.2,133.2,108,31.03,21.15,204.1
1958,10,94,94,132.6,24.18,14.78,124.9
1958,11,50.4,74,116.2,21.81,9.28,35.7
1958,12,43.1,67.3,102,16.12,2.54,30.4
1959,1,31.7,65.2,85.2,14.77,2.24,15.8
1959,2,56.5,56.5,116.8,16.41,6.04,92.7
1959,3,46.3,114.8,76.3,22.31,6.76,6
1959,4,116.4,116.4,85.2,23.56,12.01,132
1959,5,99.6,146.6,66.3,29.81,18.8,84.9
1959,6,134.9,182.4,51.9,33.37,21.25,127
1959,7,58,187.1,42.2,34.37,21.64,50.9
1959,8,93.6,175.1,35.7,34.39,21.86,91.6
1959,9,59.3,158.5,31,32.66,20.74,57.4
1959,10,110.5,110.5,86,27.42,13.92,174.2
1959,11,62.4,73.4,81.5,19.07,4.28,60.9
1959,12,61.5,64.3,80.4,17.83,5.64,63.6
1960,1,48.1,58.3,76.6,14.98,3.98,46.5
1960,2,55.5,65.3,73.1,15.29,2,54.8
1960,3,50.8,91.1,59.5,18.36,6.29,39.2
1960,4,79.5,131.1,47,26.42,14.47,70.5
1960,5,37.6,160.6,38.9,28.35,16.66,31.2
1960,6,153.4,190.7,33.4,34.64,21.36,155.6
1960,7,70.3,191.9,29.2,34.32,22.77,69.6
1960,8,103.2,174.9,26,33.49,22.67,105.3
1960,9,24.9,152.8,23.4,32.59,18.35,23.5
1960,10,114.8,114.8,133.2,28.07,16.08,236.4
1960,11,66.4,83.8,121.1,21.81,10.45,57.1
1960,12,65.1,65.1,152.1,14.76,3.72,101.2
1961,1,45.9,63.3,137.7,14.03,1.27,33.1
1961,2,69.6,69.6,152.3,19.19,5.42,88.7
1961,3,57.2,114.4,104.7,23.95,10.45,10.1
1961,4,52.2,153,69,26.47,11.71,17.4
1961,5,31.3,179.5,52.4,30.98,17.97,15.5
1961,6,179.5,179.5,93.8,32.18,20.91,232.5
1961,7,144.3,185.9,75,32.69,21.91,132.1
1961,8,40,180.3,55.7,33.86,20.63,21.8
1961,9,117.7,160.8,45,31.68,19.87,112.6
1961,10,68.1,119.7,37.6,27.34,13.81,64
1961,11,68.7,68.7,66.1,19.56,7.73,102.4
1961,12,38,70.3,56.4,17.68,5.09,29.8
1962,1,33.3,62.6,49.1,14.26,-0.4,27.3
1962,2,36.8,83.3,40.4,23.39,8.6,29.6
1962,3,29.1,110.8,34.4,20.84,6.64,24.4
1962,4,109.1,135.7,30.5,25.59,13.5,110.7
1962,5,32.5,173.8,27,30.53,18.57,30.5
1962,6,111.5,176,24.2,32.65,21.13,114.5
1962,7,9.8,208.9,22,36.33,22.95,7.9
1962,8,42.5,215.2,20.2,38.03,23.09,42.8
1962,9,120.5,155.7,18.6,32.85,20.65,125.2
1962,10,58.6,132.6,17.3,29.76,17.11,60.3
1962,11,51.7,89.4,16.1,21.86,8.64,53.2
