iter	RMSE
0	1.79231843
1	1.717152806
2	1.645312852
3	1.577256813
4	1.512609407
5	1.451195269
6	1.389779682
7	1.33302499
8	1.280256806
9	1.228935451
10	1.181900291
11	1.135904497
12	1.092320405
13	1.049329899
14	1.008811372
15	0.9709864962
16	0.9336335555
17	0.8989625365
18	0.8662032702
19	0.8334626941
20	0.804130732
21	0.7756231453
22	0.7482639535
23	0.7211982969
24	0.6974173511
25	0.6735016686
26	0.65119576
27	0.6290107852
28	0.6096569692
29	0.5902914387
30	0.5733641924
31	0.5571011
32	0.5396064012
33	0.5246800186
34	0.5109292152
35	0.498093497
36	0.4847337594
37	0.4713417514
38	0.4607953662
39	0.4497011079
40	0.4383532404
41	0.4282999477
42	0.4198843689
43	0.4104417673
44	0.4030951231
45	0.395219098
46	0.3872797755
47	0.3793815329
48	0.3719783943
49	0.3658179918
50	0.3590549512
51	0.3532265
52	0.3473986584
53	0.3426630622
54	0.3382786362
55	0.3341037344
56	0.3296133869
57	0.3250220881
58	0.3206884512
59	0.3174769744
60	0.3141106178
61	0.3111593342
62	0.3082717764
63	0.3055356888
64	0.3022881451
65	0.2997976636
66	0.296867318
67	0.2942608965
68	0.2915401197
69	0.2892858275
70	0.2871383848
71	0.2843750279
72	0.2821748288
73	0.2799322534
74	0.2778293586
75	0.2761886185
76	0.2742244648
77	0.2723954342
78	0.2704908779
79	0.2689865189
80	0.2675666463
81	0.2660258607
82	0.2645636943
83	0.263607139
84	0.2622718713
85	0.2608769306
86	0.2594242589
87	0.2586640173
88	0.2576737652
89	0.2565881007
90	0.255421551
91	0.2545171459
92	0.2536329693
93	0.2533485264
94	0.2525797488
95	0.2514561942
96	0.2504281563
97	0.2495121613
98	0.2487801818
99	0.2480574728
100	0.2472034467
101	0.2463590025
102	0.2457754913
103	0.2456095593
104	0.2448338163
105	0.2445302433
106	0.243934742
107	0.2433546878
108	0.2427955969
109	0.2423307388
110	0.2417414905
111	0.2414982508
112	0.2412033368
113	0.2408626093
114	0.2404224641
115	0.2394650856
116	0.2385628148
117	0.2381333424
118	0.2374271253
119	0.2366211594
120	0.2358104192
121	0.235216128
122	0.2348327771
123	0.2345791284
124	0.23438516
125	0.234038174
126	0.233473483
127	0.2332249415
128	0.2328885719
129	0.2324408611
130	0.2323544656
131	0.2322411338
132	0.232216384
133	0.2319578382
134	0.2316718465
135	0.2314483831
136	0.2313355962
137	0.2313018074
138	0.2304287529
139	0.2301900625
140	0.2301857946
141	0.2296108868
142	0.2295177829
143	0.2294809233
144	0.2289120444
145	0.2288931953
146	0.2287921382
147	0.2287714617
148	0.2284717456
149	0.228442862
150	0.2282959393
151	0.2282692636
152	0.2282630589
153	0.2276842079
154	0.2276667038
155	0.2269022959
156	0.2268995927
157	0.2265113707
158	0.2261735352
159	0.226158054
160	0.2261560287
161	0.225771618
162	0.2256153052
163	0.2250835447
164	0.2250813757
165	0.2249474275
166	0.2249452136
167	0.2248906402
168	0.2244073694
169	0.2244049984
170	0.2241492106
171	0.2240046901
172	0.223901283
173	0.223790652
174	0.2236945692
175	0.2236391938
176	0.2236222061
177	0.2236081175
178	0.2235562273
179	0.2235469025
180	0.2231566636
181	0.2231439553
182	0.2231409661
183	0.2230068779
184	0.2222614864
185	0.2222488437
186	0.2221439352
187	0.222090912
188	0.2220809422
189	0.222077601
190	0.2220369705
191	0.2220190049
192	0.222013252
193	0.22175166
194	0.2217419923
195	0.2213894576
196	0.2213249243
197	0.2212626314
198	0.2212004767
199	0.2211498158
200	0.2209485126
201	0.2208997471
202	0.2208749592
203	0.2202207785
204	0.2202188635
205	0.2199577707
206	0.2196963965
207	0.2196749223
208	0.2193969778
209	0.2193773097
210	0.2193765064
211	0.2190684062
212	0.2183126815
213	0.2182956246
214	0.2179728878
215	0.2179580974
216	0.2179219371
217	0.2178911711
218	0.2175958292
219	0.2175682853
220	0.2175661055
221	0.217561242
222	0.2175351735
223	0.2175343342
224	0.2172594837
225	0.2172360849
226	0.2171796686
227	0.2171705879
228	0.2171686079
229	0.2171468782
230	0.2169816917
231	0.2164789674
232	0.2159788095
233	0.2159129578
234	0.2158700789
235	0.2151660088
236	0.215122043
237	0.215104119
238	0.2150610524
239	0.2150214009
240	0.2150210713
241	0.2150207728
242	0.2150126424
243	0.2149962287
244	0.2149807474
245	0.2146574983
246	0.2146427568
247	0.2140985691
248	0.2140902551
249	0.2140764186
250	0.2135794906
251	0.2135789035
252	0.2135660078
253	0.213527238
254	0.2135151519
255	0.213400956
256	0.2133996174
257	0.2132089415
258	0.213175477
259	0.2126512931
260	0.2126404619
261	0.212036015
262	0.212035805
263	0.2119283336
264	0.2119117829
265	0.2119017552
266	0.2118862842
267	0.2118707586
268	0.2118572577
269	0.2118477044
270	0.2118340243
271	0.2118249684
272	0.2117621246
273	0.2117535361
274	0.2117418277
275	0.2117336819
276	0.2116752982
277	0.2115314831
278	0.2114479864
279	0.2114403764
280	0.2113956967
281	0.2113879227
282	0.2113871328
283	0.2113797638
284	0.2111156706
285	0.2111056932
286	0.2110990996
287	0.211018623
288	0.2109784427
289	0.2109717151
290	0.2109573716
291	0.2109516978
292	0.2109460278
293	0.2109408111
294	0.2109403636
295	0.2109325871
296	0.2109261823
297	0.2109133167
298	0.2108725501
299	0.2108673069
300	0.2108328898
301	0.2108215468
302	0.2102166609
303	0.2102105642
304	0.209617403
305	0.2096115876
306	0.2096073417
307	0.2096018284
308	0.2094054178
309	0.2093899325
310	0.2093855724
311	0.2093803198
312	0.2093324547
313	0.2093263235
314	0.209248174
315	0.2092434685
316	0.2092396522
317	0.2092351793
318	0.2092345008
319	0.2092307124
320	0.209226466
321	0.2088097097
322	0.2088062303
323	0.2087993133
324	0.2087988459
325	0.208781503
326	0.208778481
327	0.2085587659
328	0.2085547637
329	0.2085500365
330	0.2085462309
331	0.2085426311
332	0.2085420748
333	0.208538711
334	0.2085354939
335	0.208532449
336	0.2085295667
337	0.2084703344
338	0.2084640708
339	0.2084613358
340	0.2082092602
341	0.2082063856
342	0.2082059672
343	0.2080411109
344	0.2079724984
345	0.2078708088
346	0.2075876586
347	0.2075302834
348	0.2075278121
349	0.2072732068
350	0.207270812
351	0.2069382623
352	0.2067988165
353	0.2066102315
354	0.2066077888
355	0.2062991998
356	0.2061257364
357	0.2058463289
358	0.2058438675
359	0.2058415492
360	0.2056703647
361	0.2054037773
362	0.2054033301
363	0.2053991971
364	0.2053106933
365	0.20515428
366	0.20515381
367	0.2051511749
368	0.2051052239
369	0.205102911
370	0.2050522293
371	0.2049087964
372	0.2047893614
373	0.2047483257
374	0.2047480714
375	0.2046293594
376	0.2044825479
377	0.204482444
378	0.2044629585
379	0.2044546812
380	0.204454588
381	0.2043496225
382	0.204313869
383	0.2043001818
384	0.2042659873
385	0.2037884773
386	0.2036745677
387	0.2036145011
388	0.2036143778
389	0.2035228452
390	0.2035108116
391	0.2034949113
392	0.20348929
393	0.2034778063
394	0.2034369551
