iter	RMSE
0	1.780149432
1	1.733203496
2	1.692230448
3	1.651533232
4	1.617208062
5	1.582381261
6	1.548257331
7	1.513460372
8	1.479173151
9	1.444686165
10	1.410808503
11	1.379188757
12	1.346352382
13	1.316044769
14	1.288950415
15	1.261720108
16	1.235237785
17	1.205851233
18	1.181162575
19	1.157159106
20	1.135241855
21	1.113959815
22	1.089697174
23	1.066985182
24	1.04870034
25	1.027295509
26	1.00896769
27	0.9906537893
28	0.9737228788
29	0.9573215203
30	0.9406103584
31	0.9235116323
32	0.9071220108
33	0.8905836336
34	0.8741515559
35	0.8628308057
36	0.8473594508
37	0.8346659928
38	0.8210851855
39	0.8058286858
40	0.7918819394
41	0.7788783319
42	0.766212444
43	0.7542341737
44	0.7421777855
45	0.7319277658
46	0.72391158
47	0.7144272145
48	0.7028271981
49	0.6937314322
50	0.6844583745
51	0.6752512465
52	0.6669112546
53	0.6585363289
54	0.651105761
55	0.6436592017
56	0.6368759184
57	0.6305762029
58	0.6223698196
59	0.615294487
60	0.6080554827
61	0.6009157272
62	0.595439418
63	0.5874522007
64	0.5822008075
65	0.5763608512
66	0.5701728752
67	0.5644777565
68	0.5572773694
69	0.5520701445
70	0.5460503745
71	0.5402287392
72	0.5341744274
73	0.5298718021
74	0.5243071173
75	0.5201057094
76	0.5158989684
77	0.5118291566
78	0.5076163506
79	0.50339336
80	0.4992439931
81	0.4945769931
82	0.4907951969
83	0.4872164143
84	0.4833722845
85	0.4808950814
86	0.4778382202
87	0.4737897521
88	0.4697474216
89	0.4666823274
90	0.4629386629
91	0.4592903232
92	0.4559503014
93	0.4529400047
94	0.450469798
95	0.4481537968
96	0.4454538854
97	0.4426376735
98	0.4391683209
99	0.4360643192
100	0.4332763468
101	0.4311718474
102	0.42834434
103	0.4258323245
104	0.4233319198
105	0.4204343462
106	0.4181886907
107	0.4158941003
108	0.4135430538
109	0.4113781074
110	0.409393878
111	0.4072082498
112	0.4045281777
113	0.4020438946
114	0.3996944449
115	0.39785826
116	0.395557545
117	0.3931413949
118	0.3908135692
119	0.388876462
