# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2021-03-10 13:16:07 EST       (caww01),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 08168710 Comal Spgs at New Braunfels, TX",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 08168710,,,,
#            TS   parameter     statistic     Description,,,,
"#        136450       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
# ,,,,
agency_cd,site_no,datetime,136450_00060_00003,136450_00060_00003_cd
5s,15s,20d,14n,10s
USGS,8168710,3/9/2020,317,A
USGS,8168710,3/10/2020,317,A
USGS,8168710,3/11/2020,316,A
USGS,8168710,3/12/2020,315,A
USGS,8168710,3/13/2020,312,A
USGS,8168710,3/14/2020,311,A
USGS,8168710,3/15/2020,310,A
USGS,8168710,3/16/2020,308,A
USGS,8168710,3/17/2020,308,A
USGS,8168710,3/18/2020,307,A
USGS,8168710,3/19/2020,303,A
USGS,8168710,3/20/2020,301,A
USGS,8168710,3/21/2020,299,A
USGS,8168710,3/22/2020,298,A
USGS,8168710,3/23/2020,296,A
USGS,8168710,3/24/2020,294,A
USGS,8168710,3/25/2020,288,A
USGS,8168710,3/26/2020,285,A
USGS,8168710,3/27/2020,281,A
USGS,8168710,3/28/2020,278,A
USGS,8168710,3/29/2020,273,A
USGS,8168710,3/30/2020,270,A
USGS,8168710,3/31/2020,265,A
USGS,8168710,4/1/2020,264,A
USGS,8168710,4/2/2020,266,A
USGS,8168710,4/3/2020,277,A
USGS,8168710,4/4/2020,287,A
USGS,8168710,4/5/2020,299,A
USGS,8168710,4/6/2020,304,A
USGS,8168710,4/7/2020,313,A
USGS,8168710,4/8/2020,322,A
USGS,8168710,4/9/2020,322,A
USGS,8168710,4/10/2020,322,A
USGS,8168710,4/11/2020,321,A
USGS,8168710,4/12/2020,321,A
USGS,8168710,4/13/2020,320,A
USGS,8168710,4/14/2020,318,A
USGS,8168710,4/15/2020,319,A
USGS,8168710,4/16/2020,319,A
USGS,8168710,4/17/2020,320,A
USGS,8168710,4/18/2020,320,A
USGS,8168710,4/19/2020,321,A
USGS,8168710,4/20/2020,320,A
USGS,8168710,4/21/2020,319,A
USGS,8168710,4/22/2020,317,A
USGS,8168710,4/23/2020,316,A
USGS,8168710,4/24/2020,313,A
USGS,8168710,4/25/2020,312,A
USGS,8168710,4/26/2020,310,A
USGS,8168710,4/27/2020,309,A
USGS,8168710,4/28/2020,308,A
USGS,8168710,4/29/2020,306,A
USGS,8168710,4/30/2020,304,A
USGS,8168710,5/1/2020,302,A
USGS,8168710,5/2/2020,302,A
USGS,8168710,5/3/2020,299,A
USGS,8168710,5/4/2020,297,A
USGS,8168710,5/5/2020,295,A
USGS,8168710,5/6/2020,292,A
USGS,8168710,5/7/2020,290,A
USGS,8168710,5/8/2020,288,A
USGS,8168710,5/9/2020,287,A
USGS,8168710,5/10/2020,286,A
USGS,8168710,5/11/2020,285,A
USGS,8168710,5/12/2020,284,A
USGS,8168710,5/13/2020,284,A
USGS,8168710,5/14/2020,280,A
USGS,8168710,5/15/2020,282,A
USGS,8168710,5/16/2020,277,A
USGS,8168710,5/17/2020,276,A
USGS,8168710,5/18/2020,275,A
USGS,8168710,5/19/2020,274,A
USGS,8168710,5/20/2020,272,A
USGS,8168710,5/21/2020,270,A
USGS,8168710,5/22/2020,270,A
USGS,8168710,5/23/2020,271,A
USGS,8168710,5/24/2020,288,A
USGS,8168710,5/25/2020,297,A
USGS,8168710,5/26/2020,300,A
USGS,8168710,5/27/2020,308,A
USGS,8168710,5/28/2020,316,A
USGS,8168710,5/29/2020,316,A
USGS,8168710,5/30/2020,316,A
USGS,8168710,5/31/2020,316,A
USGS,8168710,6/1/2020,306,A
USGS,8168710,6/2/2020,302,A
USGS,8168710,6/3/2020,298,A
USGS,8168710,6/4/2020,295,A
USGS,8168710,6/5/2020,291,A
USGS,8168710,6/6/2020,289,A
USGS,8168710,6/7/2020,287,A
USGS,8168710,6/8/2020,285,A
USGS,8168710,6/9/2020,283,A
USGS,8168710,6/10/2020,281,A
USGS,8168710,6/11/2020,278,A
USGS,8168710,6/12/2020,276,A
USGS,8168710,6/13/2020,274,A
USGS,8168710,6/14/2020,272,A
USGS,8168710,6/15/2020,269,A
USGS,8168710,6/16/2020,267,A
USGS,8168710,6/17/2020,266,A
USGS,8168710,6/18/2020,264,A
USGS,8168710,6/19/2020,266,A
USGS,8168710,6/20/2020,264,A
USGS,8168710,6/21/2020,263,A
USGS,8168710,6/22/2020,261,A
USGS,8168710,6/23/2020,264,A
USGS,8168710,6/24/2020,266,A
USGS,8168710,6/25/2020,269,A
USGS,8168710,6/26/2020,272,A
USGS,8168710,6/27/2020,274,A
USGS,8168710,6/28/2020,274,A
USGS,8168710,6/29/2020,274,A
USGS,8168710,6/30/2020,274,A
USGS,8168710,7/1/2020,273,A
USGS,8168710,7/2/2020,271,A
USGS,8168710,7/3/2020,269,A
USGS,8168710,7/4/2020,269,A
USGS,8168710,7/5/2020,270,A
USGS,8168710,7/6/2020,267,A
USGS,8168710,7/7/2020,265,A
USGS,8168710,7/8/2020,264,A
USGS,8168710,7/9/2020,264,A
USGS,8168710,7/10/2020,263,A
USGS,8168710,7/11/2020,263,A
USGS,8168710,7/12/2020,263,A
USGS,8168710,7/13/2020,263,A
USGS,8168710,7/14/2020,262,A
USGS,8168710,7/15/2020,261,A
USGS,8168710,7/16/2020,260,A
USGS,8168710,7/17/2020,257,A
USGS,8168710,7/18/2020,257,A
USGS,8168710,7/19/2020,257,A
USGS,8168710,7/20/2020,257,A
USGS,8168710,7/21/2020,253,A
USGS,8168710,7/22/2020,249,A
USGS,8168710,7/23/2020,246,A
USGS,8168710,7/24/2020,246,A
USGS,8168710,7/25/2020,248,A
USGS,8168710,7/26/2020,249,A
USGS,8168710,7/27/2020,249,A
USGS,8168710,7/28/2020,250,A
USGS,8168710,7/29/2020,250,A
USGS,8168710,7/30/2020,250,A
USGS,8168710,7/31/2020,250,A
USGS,8168710,8/1/2020,251,A
USGS,8168710,8/2/2020,252,A
USGS,8168710,8/3/2020,252,A
USGS,8168710,8/4/2020,251,A
USGS,8168710,8/5/2020,251,A
USGS,8168710,8/6/2020,251,A
USGS,8168710,8/7/2020,250,A
USGS,8168710,8/8/2020,250,A
USGS,8168710,8/9/2020,248,A
USGS,8168710,8/10/2020,247,A
USGS,8168710,8/11/2020,246,A
USGS,8168710,8/12/2020,245,A
USGS,8168710,8/13/2020,244,A
USGS,8168710,8/14/2020,243,A
USGS,8168710,8/15/2020,243,A
USGS,8168710,8/16/2020,244,A
USGS,8168710,8/17/2020,244,A
USGS,8168710,8/18/2020,239,A
USGS,8168710,8/19/2020,237,A
USGS,8168710,8/20/2020,235,A
USGS,8168710,8/21/2020,236,A
USGS,8168710,8/22/2020,242,A
USGS,8168710,8/23/2020,246,A
