#,----------------------------------,WARNING,----------------------------------------,,,,,,,,,,,
#,Some,of,the,data,that,you,have,obtained,from,this,U.S.,Geological,Survey,database
#,may,not,have,received,Director's,approval.,Any,such,data,values,are,qualified,,
#,as,provisional,and,are,subject,to,revision.,Provisional,data,are,released,on,the,
#,condition,that,neither,the,USGS,nor,the,United,States,Government,may,be,held,liable
#,for,any,damages,resulting,from,its,use.,,,,,,,
#,,,,,,,,,,,,,,
#,Additional,info:,https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,File-format,description:,https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,,,,
#,Automated-retrieval,info:,https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,Contact:,gs-w_support_nwisweb@usgs.gov,,,,,,,,,,,,
#,retrieved:,6/9/2020,18:03:03,EDT,(caww01),,,,,,,,,
#,,,,,,,,,,,,,,
#,Data,for,the,following,1,site(s),are,contained,in,this,file,,,
#,USGS,8168000,Hueco,Spgs,nr,New,"Braunfels,",TX,,,,,,
#,-----------------------------------------------------------------------------------,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,Data,provided,for,site,8168000,,,,,,,,,
#,TS,parameter,statistic,Description,,,,,,,,,,
#,136442,65,3,Gage,"height,",feet,(Mean),,,,,,,
#,136443,60,3,"Discharge,",cubic,feet,per,second,(Mean),,,,,
#,173830,60,1,"Discharge,",cubic,feet,per,second,(Maximum),,,,,
#,173831,60,2,"Discharge,",cubic,feet,per,second,(Minimum),,,,,
#,,,,,,,,,,,,,,
#,Data-value,qualification,codes,included,in,this,output:,,,,,,,
#,,,,,,,,,,,,,,
#,A,Approved,for,publication,--,Processing,and,review,completed.,,,,,
#,P,Provisional,data,subject,to,revision.,,,,,,,,
#,e,Value,has,been,estimated.,,,,,,,,,
#,,,,,,,,,,,,,,
agency_cd,site_no,datetime,136442_00065_00003,136442_00065_00003_cd,136443_00060_00003,136443_00060_00003_cd,173830_00060_00001,173830_00060_00001_cd,173831_00060_00002,173831_00060_00002_cd,,,,
5s,15s,20d,14n,10s,14n,10s,14n,10s,14n,10s,,,,
USGS,8168000,11/26/2002,100,A,,,,,,,,,,
USGS,8168000,11/27/2002,7.37,A,100,A,108,A,92.4,A,,,,
USGS,8168000,11/28/2002,7.36,A,96.2,A,108,A,85.2,A,,,,
USGS,8168000,11/29/2002,7.36,A,90.5,A,100,A,85.2,A,,,,
USGS,8168000,11/30/2002,7.36,A,93.8,A,100,A,85.2,A,,,,
USGS,8168000,12/1/2002,7.36,A,94.5,A,100,A,85.2,A,,,,
USGS,8168000,12/2/2002,7.36,A,92.8,A,100,A,85.2,A,,,,
USGS,8168000,12/3/2002,7.36,A,90.1,A,100,A,85.2,A,,,,
USGS,8168000,12/4/2002,7.36,A,89.8,A,100,A,85.2,A,,,,
USGS,8168000,12/5/2002,7.35,A,88.3,A,92.4,A,85.2,A,,,,
USGS,8168000,12/6/2002,7.36,A,90.6,A,100,A,85.2,A,,,,
USGS,8168000,12/7/2002,7.36,A,92.8,A,100,A,92.4,A,,,,
USGS,8168000,12/8/2002,7.36,A,92.8,A,100,A,92.4,A,,,,
USGS,8168000,12/9/2002,7.37,A,111,A,135,A,92.4,A,,,,
USGS,8168000,12/10/2002,7.4,A,130,A,145,A,117,A,,,,
USGS,8168000,12/11/2002,7.39,A,124,A,135,A,117,A,,,,
USGS,8168000,12/12/2002,7.4,A,134,A,145,A,126,A,,,,
USGS,8168000,12/13/2002,7.4,A,130,A,145,A,117,A,,,,
USGS,8168000,12/14/2002,7.39,A,124,A,135,A,117,A,,,,
USGS,8168000,12/15/2002,7.39,A,124,A,135,A,108,A,,,,
USGS,8168000,12/16/2002,7.38,A,115,A,126,A,108,A,,,,
USGS,8168000,12/17/2002,7.38,A,118,A,126,A,108,A,,,,
USGS,8168000,12/18/2002,7.38,A,119,A,126,A,108,A,,,,
USGS,8168000,12/19/2002,7.38,A,115,A,126,A,108,A,,,,
USGS,8168000,12/20/2002,7.37,A,107,A,117,A,100,A,,,,
USGS,8168000,12/21/2002,7.37,A,106,A,117,A,92.4,A,,,,
USGS,8168000,12/22/2002,7.37,A,105,A,117,A,100,A,,,,
USGS,8168000,12/23/2002,7.37,A,110,A,126,A,100,A,,,,
USGS,8168000,12/24/2002,7.38,A,121,A,126,A,108,A,,,,
USGS,8168000,12/25/2002,7.37,A,108,A,117,A,100,A,,,,
USGS,8168000,12/26/2002,7.37,A,109,A,117,A,100,A,,,,
USGS,8168000,12/27/2002,7.37,A,110,A,117,A,100,A,,,,
USGS,8168000,12/28/2002,7.37,A,111,A,117,A,100,A,,,,
USGS,8168000,12/29/2002,7.38,A,114,A,126,A,100,A,,,,
USGS,8168000,12/30/2002,7.38,A,113,A,126,A,108,A,,,,
USGS,8168000,12/31/2002,7.38,A,121,A,126,A,117,A,,,,
USGS,8168000,1/1/2003,7.39,A,122,A,135,A,117,A,,,,
USGS,8168000,1/2/2003,7.38,A,115,A,126,A,108,A,,,,
USGS,8168000,1/3/2003,7.38,A,113,A,126,A,100,A,,,,
USGS,8168000,1/4/2003,7.38,A,114,A,126,A,100,A,,,,
USGS,8168000,1/5/2003,7.38,A,114,A,126,A,108,A,,,,
USGS,8168000,1/6/2003,7.38,A,114,A,126,A,108,A,,,,
USGS,8168000,1/7/2003,7.38,A,113,A,126,A,100,A,,,,
USGS,8168000,1/8/2003,7.38,A,113,A,126,A,108,A,,,,
USGS,8168000,1/9/2003,7.38,A,117,A,126,A,108,A,,,,
USGS,8168000,1/10/2003,7.38,A,121,A,135,A,108,A,,,,
USGS,8168000,1/11/2003,7.38,A,122,A,135,A,117,A,,,,
USGS,8168000,1/12/2003,7.38,A,123,A,135,A,117,A,,,,
USGS,8168000,1/13/2003,7.38,A,128,A,135,A,126,A,,,,
USGS,8168000,1/14/2003,7.38,A,128,A,135,A,117,A,,,,
USGS,8168000,1/15/2003,7.38,A,129,A,135,A,117,A,,,,
USGS,8168000,1/16/2003,7.38,A,128,A,135,A,117,A,,,,
USGS,8168000,1/17/2003,7.38,A,124,A,135,A,117,A,,,,
USGS,8168000,1/18/2003,7.38,A,122,A,135,A,117,A,,,,
USGS,8168000,1/19/2003,7.37,A,121,A,135,A,108,A,,,,
USGS,8168000,1/20/2003,7.38,A,124,A,135,A,117,A,,,,
USGS,8168000,1/21/2003,7.38,A,122,A,126,A,117,A,,,,
USGS,8168000,1/22/2003,7.37,A,114,A,126,A,100,A,,,,
USGS,8168000,1/23/2003,7.36,A,109,A,117,A,100,A,,,,
USGS,8168000,1/24/2003,7.36,A,108,A,117,A,100,A,,,,
USGS,8168000,1/25/2003,7.36,A,108,A,117,A,100,A,,,,
USGS,8168000,1/26/2003,7.36,A,108,A,117,A,100,A,,,,
USGS,8168000,1/27/2003,7.36,A,108,A,117,A,100,A,,,,
USGS,8168000,1/28/2003,7.36,A,110,A,117,A,100,A,,,,
USGS,8168000,1/29/2003,7.36,A,110,A,117,A,100,A,,,,
USGS,8168000,1/30/2003,7.36,A,106,A,117,A,100,A,,,,
USGS,8168000,1/31/2003,7.36,A,106,A,117,A,100,A,,,,
