#,----------------------------------,WARNING,----------------------------------------,,,,,,,,,,,
#,Some,of,the,data,that,you,have,obtained,from,this,U.S.,Geological,Survey,database
#,may,not,have,received,Director's,approval.,Any,such,data,values,are,qualified,,
#,as,provisional,and,are,subject,to,revision.,Provisional,data,are,released,on,the,
#,condition,that,neither,the,USGS,nor,the,United,States,Government,may,be,held,liable
#,for,any,damages,resulting,from,its,use.,,,,,,,
#,,,,,,,,,,,,,,
#,Additional,info:,https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,File-format,description:,https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,,,,
#,Automated-retrieval,info:,https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,Contact:,gs-w_support_nwisweb@usgs.gov,,,,,,,,,,,,
#,retrieved:,6/9/2020,17:46:18,EDT,(vaww02),,,,,,,,,
#,,,,,,,,,,,,,,
#,Data,for,the,following,1,site(s),are,contained,in,this,file,,,
#,USGS,8192000,Nueces,Rv,bl,"Uvalde,",TX,,,,,,,
#,-----------------------------------------------------------------------------------,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,Data,provided,for,site,8192000,,,,,,,,,
#,TS,parameter,statistic,Description,,,,,,,,,,
#,137106,60,3,"Discharge,",cubic,feet,per,second,(Mean),,,,,
#,137107,65,3,Gage,"height,",feet,(Mean),,,,,,,
#,173920,60,1,"Discharge,",cubic,feet,per,second,(Maximum),,,,,
#,173921,60,2,"Discharge,",cubic,feet,per,second,(Minimum),,,,,
#,,,,,,,,,,,,,,
#,Data-value,qualification,codes,included,in,this,output:,,,,,,,
#,,,,,,,,,,,,,,
#,A,Approved,for,publication,--,Processing,and,review,completed.,,,,,
#,P,Provisional,data,subject,to,revision.,,,,,,,,
#,e,Value,has,been,estimated.,,,,,,,,,
#,,,,,,,,,,,,,,
agency_cd,site_no,datetime,137106_00060_00003,137106_00060_00003_cd,137107_00065_00003,137107_00065_00003_cd,173920_00060_00001,173920_00060_00001_cd,173921_00060_00002,173921_00060_00002_cd,,,,
5s,15s,20d,14n,10s,14n,10s,14n,10s,14n,10s,,,,
USGS,8192000,4/5/1939,14,A,,,,,,,,,,
USGS,8192000,4/6/1939,14,A,,,,,,,,,,
USGS,8192000,4/7/1939,14,A,,,,,,,,,,
USGS,8192000,4/8/1939,14,A,,,,,,,,,,
USGS,8192000,4/9/1939,13,A,,,,,,,,,,
USGS,8192000,4/10/1939,12,A,,,,,,,,,,
USGS,8192000,4/11/1939,11,A,,,,,,,,,,
USGS,8192000,4/12/1939,12,A,,,,,,,,,,
USGS,8192000,4/13/1939,13,A,,,,,,,,,,
USGS,8192000,4/14/1939,14,A,,,,,,,,,,
USGS,8192000,4/15/1939,13,A,,,,,,,,,,
USGS,8192000,4/16/1939,12,A,,,,,,,,,,
USGS,8192000,4/17/1939,12,A,,,,,,,,,,
USGS,8192000,4/18/1939,13,A,,,,,,,,,,
USGS,8192000,4/19/1939,14,A,,,,,,,,,,
USGS,8192000,4/20/1939,14,A,,,,,,,,,,
USGS,8192000,4/21/1939,14,A,,,,,,,,,,
USGS,8192000,4/22/1939,14,A,,,,,,,,,,
USGS,8192000,4/23/1939,14,A,,,,,,,,,,
USGS,8192000,4/24/1939,14,A,,,,,,,,,,
USGS,8192000,4/25/1939,14,A,,,,,,,,,,
USGS,8192000,4/26/1939,14,A,,,,,,,,,,
USGS,8192000,4/27/1939,15,A,,,,,,,,,,
USGS,8192000,4/28/1939,16,A,,,,,,,,,,
USGS,8192000,4/29/1939,14,A,,,,,,,,,,
USGS,8192000,4/30/1939,14,A,,,,,,,,,,
USGS,8192000,5/1/1939,14,A,,,,,,,,,,
USGS,8192000,5/2/1939,14,A,,,,,,,,,,
USGS,8192000,5/3/1939,14,A,,,,,,,,,,
USGS,8192000,5/4/1939,14,A,,,,,,,,,,
USGS,8192000,5/5/1939,15,A,,,,,,,,,,
USGS,8192000,5/6/1939,14,A,,,,,,,,,,
USGS,8192000,5/7/1939,14,A,,,,,,,,,,
USGS,8192000,5/8/1939,14,A,,,,,,,,,,
USGS,8192000,5/9/1939,14,A,,,,,,,,,,
USGS,8192000,5/10/1939,14,A,,,,,,,,,,
