#,----------------------------------,WARNING,----------------------------------------,,,,,,,,,,,
#,Some,of,the,data,that,you,have,obtained,from,this,U.S.,Geological,Survey,database
#,may,not,have,received,Director's,approval.,Any,such,data,values,are,qualified,,
#,as,provisional,and,are,subject,to,revision.,Provisional,data,are,released,on,the,
#,condition,that,neither,the,USGS,nor,the,United,States,Government,may,be,held,liable
#,for,any,damages,resulting,from,its,use.,,,,,,,
#,,,,,,,,,,,,,,
#,Additional,info:,https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,File-format,description:,https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,,,,
#,Automated-retrieval,info:,https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,Contact:,gs-w_support_nwisweb@usgs.gov,,,,,,,,,,,,
#,retrieved:,6/9/2020,17:57:58,EDT,(caww01),,,,,,,,,
#,,,,,,,,,,,,,,
#,Data,for,the,following,1,site(s),are,contained,in,this,file,,,
#,USGS,8178500,San,Pedro,Ck,at,Furnish,"St,",San,"Antonio,",TX,,,
#,-----------------------------------------------------------------------------------,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,Data,provided,for,site,8178500,,,,,,,,,
#,TS,parameter,statistic,Description,,,,,,,,,,
#,136685,60,3,"Discharge,",cubic,feet,per,second,(Mean),,,,,
#,136686,45,6,"Precipitation,","total,",inches,(Sum),,,,,,,
#,173878,60,1,"Discharge,",cubic,feet,per,second,(Maximum),,,,,
#,173879,60,2,"Discharge,",cubic,feet,per,second,(Minimum),,,,,
#,,,,,,,,,,,,,,
#,Data-value,qualification,codes,included,in,this,output:,,,,,,,
#,,,,,,,,,,,,,,
#,A,Approved,for,publication,--,Processing,and,review,completed.,,,,,
#,P,Provisional,data,subject,to,revision.,,,,,,,,
#,e,Value,has,been,estimated.,,,,,,,,,
#,,,,,,,,,,,,,,
agency_cd,site_no,datetime,136685_00060_00003,136685_00060_00003_cd,136686_00045_00006,136686_00045_00006_cd,173878_00060_00001,173878_00060_00001_cd,173879_00060_00002,173879_00060_00002_cd,,,,
5s,15s,20d,14n,10s,14n,10s,14n,10s,14n,10s,,,,
USGS,8178500,8/1/1916,5,A,,,,,,,,,,
USGS,8178500,8/2/1916,5,A,,,,,,,,,,
USGS,8178500,8/3/1916,5,A,,,,,,,,,,
USGS,8178500,8/4/1916,5,A,,,,,,,,,,
USGS,8178500,8/5/1916,6.2,A,,,,,,,,,,
USGS,8178500,8/6/1916,8.8,A,,,,,,,,,,
USGS,8178500,8/7/1916,5.7,A,,,,,,,,,,
USGS,8178500,8/8/1916,5,A,,,,,,,,,,
USGS,8178500,8/9/1916,5,A,,,,,,,,,,
USGS,8178500,8/10/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/11/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/12/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/13/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/14/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/15/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/16/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/17/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/18/1916,5.7,A,,,,,,,,,,
USGS,8178500,8/19/1916,5,A,,,,,,,,,,
USGS,8178500,8/20/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/21/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/22/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/23/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/24/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/25/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/26/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/27/1916,4.8,A,,,,,,,,,,
USGS,8178500,8/28/1916,5.4,A,,,,,,,,,,
USGS,8178500,8/29/1916,18,A,,,,,,,,,,
USGS,8178500,8/30/1916,9,A,,,,,,,,,,
USGS,8178500,8/31/1916,6.4,A,,,,,,,,,,
USGS,8178500,9/1/1916,6.4,A,,,,,,,,,,
USGS,8178500,9/2/1916,6.4,A,,,,,,,,,,
USGS,8178500,9/3/1916,5.9,A,,,,,,,,,,
