"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 07/16/2021

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 29.8958 North,-97.9375 East" 
Variable List: 
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
ppt: ppt (Precipitation)
********************************************************
Year,Month,tmax(degC),tmin(degC),ppt(mm)
1958,1,15.37,2.53,104.6
1958,2,13.71,3.61,124.3
1958,3,18.32,6.34,42.9
1958,4,24.96,12.98,44
1958,5,29.39,17.25,123.2
1958,6,33.8,22.05,99.1
1958,7,34.93,22.99,67.2
1958,8,36.47,22.19,36.4
1958,9,31.03,21.15,204.1
1958,10,24.18,14.78,124.9
1958,11,21.81,9.28,35.7
1958,12,16.12,2.54,30.4
1959,1,14.77,2.24,15.8
1959,2,16.41,6.04,92.7
1959,3,22.31,6.76,6
1959,4,23.56,12.01,132
1959,5,29.81,18.8,84.9
1959,6,33.37,21.25,127
1959,7,34.37,21.64,50.9
1959,8,34.39,21.86,91.6
1959,9,32.66,20.74,57.4
1959,10,27.42,13.92,174.2
1959,11,19.07,4.28,60.9
1959,12,17.83,5.64,63.6
1960,1,14.98,3.98,46.5
1960,2,15.29,2,54.8
1960,3,18.36,6.29,39.2
1960,4,26.42,14.47,70.5
1960,5,28.35,16.66,31.2
1960,6,34.64,21.36,155.6
1960,7,34.32,22.77,69.6
1960,8,33.49,22.67,105.3
1960,9,32.59,18.35,23.5
1960,10,28.07,16.08,236.4
1960,11,21.81,10.45,57.1
1960,12,14.76,3.72,101.2
1961,1,14.03,1.27,33.1
1961,2,19.19,5.42,88.7
1961,3,23.95,10.45,10.1
1961,4,26.47,11.71,17.4
1961,5,30.98,17.97,15.5
1961,6,32.18,20.91,232.5
1961,7,32.69,21.91,132.1
1961,8,33.86,20.63,21.8
1961,9,31.68,19.87,112.6
1961,10,27.34,13.81,64
1961,11,19.56,7.73,102.4
1961,12,17.68,5.09,29.8
1962,1,14.26,-0.4,27.3
1962,2,23.39,8.6,29.6
1962,3,20.84,6.64,24.4
1962,4,25.59,13.5,110.7
1962,5,30.53,18.57,30.5
1962,6,32.65,21.13,114.5
1962,7,36.33,22.95,7.9
1962,8,38.03,23.09,42.8
1962,9,32.85,20.65,125.2
1962,10,29.76,17.11,60.3
1962,11,21.86,8.64,53.2
1962,12,16.61,4.55,71
1963,1,13.53,-0.24,8.2
1963,2,18.54,2.85,67.4
1963,3,24.75,10.21,5.7
1963,4,29,16.43,54
1963,5,31.24,18.67,43.2
1963,6,35.04,21.81,59.3
1963,7,36.26,22.99,24.4
1963,8,37.19,22.51,38.5
1963,9,33.75,19.96,45.9
1963,10,30.89,15.41,38.1
1963,11,22.45,10.11,90.2
1963,12,13.12,0.61,35.9
1964,1,17.01,2.37,85
1964,2,15.11,2.68,55.3
