,PRCP,TMAX,TMIN,Month,SanMarcos_SF(m3)
1960-09-01,0.0,32.2,20.0,9,6.145
1960-09-02,0.0,32.8,20.6,9,6.145
1960-09-03,0.0,33.3,21.1,9,6.145
1960-09-04,4.3,32.8,21.7,9,6.145
1960-09-05,0.0,32.8,20.6,9,5.975
1960-09-06,0.0,33.3,20.6,9,5.975
1960-09-07,0.0,32.8,19.4,9,5.975
1960-09-08,23.6,30.6,21.7,9,5.975
1960-09-09,0.3,32.2,21.7,9,5.975
1960-09-10,0.0,33.3,22.8,9,5.833
1960-09-11,0.0,28.3,20.6,9,5.833
1960-09-12,0.0,30.6,12.2,9,5.833
1960-09-13,0.0,32.2,13.9,9,5.833
1960-09-14,0.0,32.2,14.4,9,5.663
1960-09-15,0.0,32.8,16.1,9,5.663
1960-09-16,0.0,33.3,16.1,9,5.663
1960-09-17,0.0,33.3,17.2,9,5.663
1960-09-18,0.0,32.8,18.9,9,5.663
1960-09-19,0.0,33.3,19.4,9,5.663
1960-09-20,0.0,33.9,18.3,9,5.663
1960-09-21,0.0,33.9,16.7,9,5.493
1960-09-22,0.0,33.3,18.3,9,5.493
1960-09-23,0.0,33.3,17.2,9,5.493
1960-09-24,0.0,33.9,17.8,9,5.493
1960-09-25,0.0,32.8,17.8,9,5.493
1960-09-26,0.0,26.7,15.0,9,5.352
1960-09-27,0.0,28.3,15.6,9,5.352
1960-09-28,0.0,23.9,16.1,9,5.352
1960-09-29,0.0,29.4,12.2,9,5.352
1960-09-30,0.0,32.2,13.9,9,5.352
1960-10-01,0.0,32.2,13.9,10,5.352
1960-10-02,0.0,31.1,14.4,10,5.493
1960-10-03,0.0,31.1,16.1,10,5.352
1960-10-04,0.0,32.2,18.3,10,5.352
1960-10-05,0.0,32.2,20.6,10,5.352
1960-10-06,0.3,35.0,15.0,10,5.21
1960-10-07,1.8,33.3,15.0,10,5.21
1960-10-08,0.0,29.4,13.3,10,5.21
1960-10-09,0.0,32.2,16.1,10,5.21
1960-10-10,0.0,32.8,16.7,10,5.21
1960-10-11,0.0,32.8,16.7,10,5.21
1960-10-12,0.0,31.1,17.8,10,5.21
1960-10-13,0.0,28.9,18.9,10,5.21
1960-10-14,36.6,32.8,18.3,10,5.21
1960-10-15,0.0,31.7,18.3,10,5.21
1960-10-16,45.7,31.1,17.8,10,5.21
1960-10-17,5.3,21.7,18.3,10,5.21
1960-10-18,11.7,25.0,18.9,10,5.21
1960-10-19,63.2,25.6,18.3,10,5.352
1960-10-20,0.3,23.3,10.6,10,5.352
1960-10-21,0.0,23.9,11.1,10,5.493
1960-10-22,0.0,21.1,8.3,10,5.493
1960-10-23,0.0,24.4,12.2,10,5.663
1960-10-24,0.0,25.0,17.8,10,5.663
1960-10-25,19.3,24.4,18.3,10,5.663
1960-10-26,8.4,22.8,19.4,10,5.663
1960-10-27,0.0,25.6,16.7,10,5.493
1960-10-28,0.5,26.7,19.4,10,5.493
1960-10-29,119.9,27.8,17.2,10,5.663
1960-10-30,2.3,25.6,16.1,10,5.833
1960-10-31,0.0,22.8,6.1,10,5.975
1960-11-01,0.0,21.7,5.6,11,6.145
1960-11-02,0.0,23.3,7.8,11,6.315
1960-11-03,0.0,30.6,10.0,11,6.485
1960-11-04,0.0,25.6,14.4,11,6.654
1960-11-05,0.0,27.8,12.2,11,6.824
1960-11-06,0.0,23.9,8.9,11,6.824
1960-11-07,0.0,18.9,7.2,11,6.824
1960-11-08,0.0,21.1,9.4,11,6.994
1960-11-09,6.1,22.8,12.2,11,6.994
1960-11-10,0.0,25.0,3.9,11,6.994
1960-11-11,0.0,11.1,0.6,11,6.994
1960-11-12,0.0,17.2,1.7,11,6.824
1960-11-13,0.8,20.0,15.6,11,6.824
1960-11-14,0.0,24.4,19.4,11,6.654
1960-11-15,0.0,27.8,20.6,11,6.654
1960-11-16,0.0,27.2,14.4,11,6.654
1960-11-17,1.5,21.1,10.6,11,6.654
1960-11-18,7.1,14.4,11.1,11,6.654
1960-11-19,0.5,16.7,11.7,11,6.654
1960-11-20,4.6,16.1,13.3,11,6.824
1960-11-21,36.3,16.1,11.7,11,6.824
1960-11-22,7.4,13.9,12.2,11,6.824
1960-11-23,0.0,22.2,12.2,11,6.824
1960-11-24,0.0,17.8,5.0,11,6.824
1960-11-25,0.0,20.6,6.1,11,6.824
1960-11-26,0.0,22.8,6.7,11,6.824
1960-11-27,0.0,27.2,17.8,11,6.994
1960-11-28,1.0,26.7,19.4,11,6.824
1960-11-29,0.0,22.2,5.0,11,6.824
1960-11-30,0.0,14.4,0.6,11,6.824
1960-12-01,0.0,13.9,0.0,12,6.654
1960-12-02,0.0,15.6,-2.2,12,6.654
1960-12-03,0.0,16.1,-1.1,12,6.654
1960-12-04,0.0,21.7,9.4,12,6.654
1960-12-05,0.3,20.6,14.4,12,6.654
1960-12-06,3.6,24.4,15.6,12,6.654
1960-12-07,7.6,22.2,5.6,12,6.824
1960-12-08,23.4,10.6,5.0,12,6.824
1960-12-09,8.9,7.2,5.0,12,6.824
1960-12-10,7.4,7.2,4.4,12,6.824
1960-12-11,1.8,11.7,0.0,12,6.994
1960-12-12,0.0,14.4,4.4,12,6.994
1960-12-13,0.0,5.6,3.3,12,6.994
1960-12-14,3.0,7.2,2.8,12,6.994
1960-12-15,2.3,6.7,0.0,12,7.164
1960-12-16,0.0,18.3,0.0,12,6.994
1960-12-17,0.0,10.6,-3.3,12,6.994
1960-12-18,0.0,15.6,-2.2,12,6.994
1960-12-19,0.0,18.9,2.2,12,6.994
1960-12-20,0.0,21.1,2.8,12,6.994
1960-12-21,0.0,16.1,-2.8,12,6.994
1960-12-22,0.0,9.4,-5.6,12,6.994
1960-12-23,0.0,11.7,-5.6,12,6.824
1960-12-24,0.0,10.0,2.8,12,6.824
1960-12-25,0.0,20.6,1.1,12,6.824
1960-12-26,0.0,20.6,4.4,12,6.824
1960-12-27,0.0,20.0,10.0,12,6.824
1960-12-28,1.3,16.7,11.7,12,6.654
1960-12-29,12.4,15.6,6.1,12,6.654
1960-12-30,0.3,8.3,5.0,12,6.654
1960-12-31,15.5,8.3,2.8,12,6.824
1961-01-01,0.0,13.3,0.0,1,6.824
1961-01-02,0.0,13.3,0.6,1,6.824
1961-01-03,0.0,12.2,1.1,1,6.654
1961-01-04,0.0,13.3,1.1,1,6.654
1961-01-05,0.0,13.9,5.6,1,6.654
1961-01-06,6.9,11.1,8.3,1,6.654
1961-01-07,19.3,12.8,10.0,1,6.796
1961-01-08,4.3,15.0,5.0,1,6.796
1961-01-09,0.0,10.0,1.7,1,6.796
1961-01-10,0.0,13.3,-3.3,1,6.796
1961-01-11,0.0,15.0,-3.3,1,6.796
1961-01-12,0.0,11.1,7.8,1,6.796
1961-01-13,0.0,11.1,8.3,1,6.796
1961-01-14,0.0,18.3,4.4,1,6.796
1961-01-15,0.0,19.4,2.8,1,6.796
1961-01-16,0.0,21.1,0.6,1,6.796
1961-01-17,0.0,23.3,1.1,1,6.796
1961-01-18,0.0,23.9,6.7,1,6.796
1961-01-19,0.0,21.7,5.0,1,6.796
1961-01-20,0.0,11.7,-3.9,1,6.796
1961-01-21,0.0,12.8,-3.3,1,6.654
1961-01-22,0.0,10.0,-0.6,1,6.654
1961-01-23,0.0,12.2,2.2,1,6.654
1961-01-24,0.0,22.8,2.8,1,6.654
1961-01-25,2.0,24.4,-2.8,1,6.654
1961-01-26,0.0,0.6,-3.3,1,6.654
1961-01-27,0.0,6.1,-3.3,1,6.654
1961-01-28,0.0,1.7,-3.3,1,6.654
1961-01-29,0.0,7.8,-2.8,1,6.654
1961-01-30,0.0,10.6,-4.4,1,6.654
1961-01-31,0.0,15.0,-4.4,1,6.654
1961-02-01,0.0,18.9,1.7,2,6.654
1961-02-02,0.0,21.7,10.0,2,6.654
1961-02-03,0.0,19.4,0.0,2,6.654
1961-02-04,0.0,18.9,0.0,2,6.654
1961-02-05,7.1,21.1,-1.1,2,6.654
1961-02-06,40.4,9.4,2.2,2,6.824
1961-02-07,0.0,4.4,-1.1,2,6.824
1961-02-08,0.0,11.1,-2.8,2,6.994
1961-02-09,0.0,13.3,-1.7,2,6.824
1961-02-10,0.0,21.1,1.7,2,6.994
1961-02-11,0.0,21.7,1.1,2,6.994
1961-02-12,0.0,23.9,2.2,2,7.164
1961-02-13,0.0,26.1,5.6,2,7.334
1961-02-14,0.0,25.6,11.7,2,7.334
1961-02-15,0.0,23.9,13.9,2,7.164
1961-02-16,1.0,23.3,17.2,2,7.164
1961-02-17,1.3,25.6,16.1,2,7.164
1961-02-18,0.5,27.2,12.8,2,7.164
1961-02-19,0.0,26.7,8.3,2,7.164
1961-02-20,1.0,9.4,5.0,2,7.164
1961-02-21,1.3,11.7,5.0,2,7.164
1961-02-22,0.0,10.6,2.2,2,6.994
1961-02-23,0.0,22.8,4.4,2,6.994
1961-02-24,1.5,26.1,7.2,2,6.824
1961-02-25,0.0,13.3,2.8,2,6.824
1961-02-26,0.0,16.1,4.4,2,6.824
1961-02-27,0.0,23.9,7.8,2,6.824
1961-02-28,0.0,22.2,1.1,2,6.654
1961-03-01,0.0,17.2,3.3,3,6.654
1961-03-02,0.0,22.2,3.9,3,6.485
1961-03-03,0.0,23.3,5.0,3,6.654
1961-03-04,0.0,23.9,17.8,3,6.654
1961-03-05,0.3,23.9,18.3,3,6.654
1961-03-06,0.0,28.3,18.3,3,6.654
1961-03-07,0.0,28.9,18.3,3,6.485
1961-03-08,0.8,29.4,10.0,3,6.485
1961-03-09,0.0,21.1,2.2,3,6.485
1961-03-10,0.0,20.6,-1.1,3,6.485
1961-03-11,0.0,22.2,-0.6,3,6.654
1961-03-12,0.0,21.7,12.2,3,6.654
1961-03-13,0.0,27.8,13.3,3,6.485
1961-03-14,0.0,27.2,8.3,3,6.485
1961-03-15,0.0,26.7,8.3,3,6.315
1961-03-16,0.3,24.4,17.2,3,6.485
1961-03-17,6.4,23.9,12.8,3,6.485
1961-03-18,0.0,25.0,7.8,3,6.485
1961-03-19,0.0,25.6,5.6,3,6.485
1961-03-20,0.0,16.1,5.0,3,6.315
1961-03-21,0.0,20.6,3.9,3,6.315
1961-03-22,0.0,26.7,6.7,3,6.315
1961-03-23,0.0,25.0,8.9,3,6.315
1961-03-24,0.0,26.1,4.4,3,6.315
1961-03-25,0.0,26.1,6.7,3,6.315
1961-03-26,0.0,23.9,15.0,3,6.485
1961-03-27,0.5,29.4,19.4,3,6.315
1961-03-28,0.0,30.0,20.0,3,6.315
1961-03-29,0.0,31.1,20.0,3,6.315
1961-03-30,0.0,25.6,10.0,3,6.315
1961-03-31,0.0,12.8,4.4,3,6.315
1961-04-01,0.0,19.4,4.4,4,6.315
1961-04-02,0.0,21.1,1.7,4,6.315
1961-04-03,0.0,25.6,10.0,4,6.315
1961-04-04,0.0,28.9,5.0,4,6.145
1961-04-05,0.0,28.9,10.0,4,6.315
1961-04-06,14.7,20.6,8.9,4,6.315
1961-04-07,0.0,18.3,4.4,4,6.145
1961-04-08,0.0,20.6,8.9,4,6.315
1961-04-09,0.0,25.6,10.0,4,6.315
1961-04-10,0.0,23.9,2.8,4,6.145
1961-04-11,0.0,23.3,5.6,4,6.145
1961-04-12,2.3,28.9,8.9,4,6.145
1961-04-13,0.0,25.6,3.3,4,6.145
1961-04-14,0.0,26.7,8.3,4,6.315
1961-04-15,0.0,34.4,11.7,4,6.315
1961-04-16,0.0,20.6,0.0,4,6.315
1961-04-17,0.0,23.3,0.6,4,6.315
1961-04-18,0.0,26.7,10.6,4,6.145
1961-04-19,0.0,28.3,16.7,4,6.315
1961-04-20,0.0,29.4,19.4,4,6.315
1961-04-21,0.0,27.2,21.7,4,6.315
1961-04-22,0.0,27.2,16.7,4,6.315
1961-04-23,0.0,26.7,17.2,4,6.315
1961-04-24,0.0,27.2,17.8,4,6.315
1961-04-25,0.0,29.4,21.7,4,6.315
1961-04-26,0.0,32.8,17.2,4,6.145
